Player,Nation,Team,Position,Age,Matches Played,Starts,Minutes,Goals,Assists,Yellow Cards,Red Cards,xG,xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,xG/90,xAG/90,GA90,Save%,CS%,PK Save%
13,314,2,14.6,0.0,2.0,0.0,1.0,0.0,5.1,14.0,62.0,0.14,0.14,0.14,0.35,0.03,0.37,0.29,,,0.0,0.0,0.0,0.0
20,810,0,20.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
20,909,3,21.2,0.0,3.0,0.0,0.0,0.0,2.7,71.0,64.0,0.14,0.14,0.14,0.13,0.07,0.2,0.13,,,0.0,0.0,0.0,0.0
15,248,2,13.9,2.0,2.0,0.0,1.0,0.0,3.3,21.0,79.0,0.14,0.29,0.29,0.24,0.09,0.32,0.17,,,0.0,0.0,0.0,0.0
0,48,0,0.5,0.0,0.0,0.0,0.0,0.0,0.4,1.0,0.0,0.0,0.0,0.0,0.69,0.14,0.82,0.69,,,0.0,0.0,0.0,0.0
25,250,0,25.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
4,395,3,4.4,1.0,3.0,0.0,2.0,0.0,3.8,28.0,20.0,0.68,0.91,0.91,0.86,0.1,0.96,0.5,,,0.0,0.0,0.0,0.0
1,90,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
3,363,1,4.0,0.0,1.0,0.0,0.0,0.0,2.1,7.0,19.0,0.25,0.25,0.25,0.52,0.03,0.55,0.52,,,0.0,0.0,0.0,0.0
18,633,0,18.1,1.0,0.0,0.0,0.0,0.0,2.2,63.0,55.0,0.0,0.06,0.06,0.12,0.12,0.24,0.12,,,0.0,0.0,0.0,0.0
0,21,0,0.2,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,1.96,0.21,2.17,1.96,,,0.0,0.0,0.0,0.0
15,310,4,14.6,0.0,3.0,1.0,1.0,0.0,2.8,31.0,68.0,0.27,0.27,0.21,0.19,0.05,0.25,0.14,,,0.0,0.0,0.0,0.0
3,334,0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
14,138,1,12.6,2.0,1.0,0.0,0.0,0.0,1.7,35.0,121.0,0.08,0.24,0.24,0.14,0.12,0.26,0.14,,,0.0,0.0,0.0,0.0
25,147,2,23.9,1.0,2.0,0.0,0.0,1.0,3.0,108.0,26.0,0.08,0.13,0.13,0.12,0.05,0.18,0.12,,,0.0,0.0,0.0,0.0
3,554,3,6.2,1.0,3.0,0.0,0.0,0.0,1.7,32.0,8.0,0.49,0.65,0.65,0.27,0.09,0.37,0.27,,,0.0,0.0,0.0,0.0
11,262,9,14.0,3.0,9.0,0.0,0.0,0.0,6.1,60.0,137.0,0.64,0.86,0.86,0.43,0.22,0.66,0.43,,,0.0,0.0,0.0,0.0
29,624,1,29.2,0.0,1.0,0.0,0.0,0.0,1.0,94.0,12.0,0.03,0.03,0.03,0.03,0.0,0.04,0.03,,,0.0,0.0,0.0,0.0
1,90,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
26,171,2,24.1,0.0,2.0,0.0,0.0,0.0,0.7,55.0,1.0,0.08,0.08,0.08,0.03,0.02,0.05,0.03,,,0.0,0.0,0.0,0.0
2,331,0,3.7,0.0,0.0,0.0,0.0,0.0,0.3,5.0,0.0,0.0,0.0,0.0,0.09,0.0,0.09,0.09,,,0.0,0.0,0.0,0.0
Starts,Min,Gls,90s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
18,479,2,16.4,6.0,2.0,0.0,0.0,0.0,1.3,35.0,80.0,0.12,0.49,0.49,0.08,0.22,0.3,0.08,,,0.0,0.0,0.0,0.0
18,428,2,15.9,0.0,2.0,0.0,0.0,0.0,1.3,89.0,32.0,0.13,0.13,0.13,0.08,0.03,0.11,0.08,,,0.0,0.0,0.0,0.0
21,882,0,20.9,0.0,0.0,0.0,0.0,0.0,0.2,99.0,8.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,,,0.0,0.0,0.0,0.0
10,112,0,12.4,1.0,0.0,0.0,0.0,0.0,0.7,48.0,28.0,0.0,0.08,0.08,0.06,0.05,0.1,0.06,,,0.0,0.0,0.0,0.0
