Player,Rk,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
George Edmundson,154,engENG,DF,Ipswich Town,27-236,1997,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/a,Matches
George Hirst,237,sctSCO,FW,Ipswich Town,26-068,1999,5.0,1,0,0,11,9,2,3,2,2,0,0,0,8,29,16,64.4,Matches
Georginio Rutter,440,frFRA,"MF,FW",Brighton,23-004,2002,18.4,2,0,0,34,45,7,9,10,15,0,1,0,66,25,46,35.2,Matches
Gonçalo Guedes,213,ptPOR,"MF,FW",Wolves,28-146,1996,8.6,1,0,0,14,15,3,16,5,4,0,0,0,34,3,10,23.1,Matches
Guglielmo Vicario,531,itITA,GK,Tottenham,28-199,1996,21.0,1,0,0,0,1,0,0,1,0,0,0,0,30,9,0,100.0,Matches
Guido Rodríguez,436,arARG,MF,West Ham,31-012,1994,11.3,5,0,0,15,11,1,4,12,16,0,0,0,46,8,7,53.3,Matches
Gustavo Nunes,377,brBRA,"MF,FW",Brentford,19-155,2005,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/a,Matches
Hamza Choudhury,98,bdBAN,"MF,DF",Leicester City,27-205,1997,1.5,0,0,0,1,0,0,5,5,1,0,0,0,2,0,0,N/a,Matches
Harrison Armstrong,34,engENG,MF,Everton,18-095,2007,0.5,1,0,0,2,2,0,1,0,0,0,0,0,2,0,2,0.0,Matches
Harrison Reed,423,engENG,MF,Fulham,30-087,1995,1.0,2,0,0,6,2,0,5,1,3,0,1,0,10,1,2,33.3,Matches
Harry Amass,20,engENG,DF,Manchester Utd,18-039,2007,1.8,0,0,0,2,3,1,4,1,1,0,0,0,10,5,1,83.3,Matches
Harry Clarke,100,engENG,DF,Ipswich Town,24-053,2001,4.2,3,1,1,5,1,0,5,4,3,0,1,0,17,10,4,71.4,Matches
Harry Maguire,317,engENG,DF,Manchester Utd,32-050,1993,15.8,7,0,0,16,6,1,2,36,13,0,0,0,53,51,21,70.8,Matches
Harry Toffolo,507,engENG,DF,Nott'ham Forest,29-248,1995,1.5,1,0,0,1,0,0,4,2,3,0,0,0,2,1,0,100.0,Matches
Harry Wilson,553,wlsWAL,"FW,MF",Fulham,28-033,1997,9.5,2,0,0,10,16,0,30,5,7,1,0,0,39,4,16,20.0,Matches
Harry Winks,554,engENG,MF,Leicester City,29-081,1996,17.1,4,0,0,9,13,0,34,9,11,0,0,0,106,8,6,57.1,Matches
Harvey Barnes,46,engENG,FW,Newcastle Utd,27-136,1997,14.9,0,0,0,10,18,4,32,6,9,0,0,0,44,5,13,27.8,Matches
Harvey Elliott,160,engENG,"MF,FW",Liverpool,22-020,2003,2.0,0,0,0,0,0,1,10,1,2,0,0,0,10,1,1,50.0,Matches
Hwang Hee-chan,230,krKOR,"MF,FW",Wolves,29-088,1996,7.2,0,0,0,6,8,0,8,2,4,0,0,0,27,3,9,25.0,Matches
Hákon Rafn Valdimarsson,417,isISL,GK,Brentford,23-193,2001,1.6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0,Matches
Ian Maatsen,311,nlNED,DF,Aston Villa,23-045,2002,9.9,2,0,0,9,8,3,47,15,13,0,0,0,54,8,5,61.5,Matches
Ibrahim Sangaré,447,ciCIV,MF,Nott'ham Forest,27-143,1997,3.1,2,0,0,8,5,0,0,2,10,0,0,0,22,5,7,41.7,Matches
Ibrahima Konaté,284,frFRA,DF,Liverpool,25-334,1999,24.8,5,0,0,24,18,0,0,11,25,0,0,0,84,68,28,70.8,Matches
Idrissa Gana Gueye,191,snSEN,MF,Everton,35-210,1989,29.1,8,0,0,48,39,0,6,40,70,0,0,0,170,22,15,59.5,Matches
Igor,244,brBRA,DF,Brighton,27-076,1998,10.0,4,0,0,9,6,0,2,4,4,0,0,0,40,8,6,57.1,Matches
Iliman Ndiaye,368,snSEN,FW,Everton,25-049,2000,23.5,3,0,0,21,44,5,35,17,25,0,0,0,158,5,17,22.7,Matches
Illia Zabarnyi,564,uaUKR,DF,Bournemouth,22-235,2002,29.6,3,1,0,17,6,0,5,34,32,0,0,0,140,67,37,64.4,Matches
Ismaila Sarr,450,snSEN,"MF,FW",Crystal Palace,27-058,1998,26.6,4,0,0,12,49,11,50,8,10,1,0,0,99,31,46,40.3,Matches
Issa Diop,135,frFRA,DF,Fulham,28-105,1997,14.9,2,0,0,10,4,0,1,9,12,0,0,1,45,20,12,62.5,Matches
Jack Clarke,101,engENG,"FW,MF",Ipswich Town,24-152,2000,11.0,2,0,0,14,19,3,13,7,17,0,0,0,64,6,14,30.0,Matches
Jack Grealish,209,engENG,"FW,MF",Manchester City,29-226,1995,8.0,3,0,0,5,25,0,20,2,5,0,0,0,26,1,7,12.5,Matches
Jack Harrison,225,engENG,FW,Everton,28-155,1996,20.3,0,0,0,13,25,4,112,8,21,1,0,0,63,4,26,13.3,Matches
Jack Hinshelwood,236,engENG,"DF,MF",Brighton,20-013,2005,17.7,4,0,0,14,5,0,26,14,18,0,0,0,51,19,13,59.4,Matches
Jack Stephens,483,engENG,DF,Southampton,31-087,1994,11.9,2,2,0,12,3,1,0,11,18,0,1,0,39,6,6,50.0,Matches
Jack Taylor,498,ieIRL,MF,Ipswich Town,26-305,1998,6.7,3,0,0,14,4,0,6,6,7,0,0,0,40,7,5,58.3,Matches
Jacob Greaves,210,engENG,DF,Ipswich Town,24-224,2000,19.5,4,0,0,9,16,1,0,18,13,0,0,0,43,54,38,58.7,Matches
Jacob Murphy,366,engENG,FW,Newcastle Utd,30-059,1995,22.4,3,0,0,11,11,3,93,11,15,0,0,0,86,4,15,21.1,Matches
Jacob Ramsey,419,engENG,"FW,MF",Aston Villa,23-331,2001,16.5,2,0,0,12,24,5,10,7,15,1,0,0,74,6,10,37.5,Matches
Jaden Philogene Bidace,408,engENG,"FW,MF",Aston Villa,23-075,2002,3.7,4,1,1,12,8,1,4,3,5,0,0,0,21,0,5,0.0,Matches
Jadon Sancho,446,engENG,FW,Chelsea,25-030,2000,18.4,1,0,0,6,11,5,23,2,6,2,0,0,96,5,10,33.3,Matches
Jahmai Simpson-Pusey,468,engENG,DF,Manchester City,19-171,2005,1.1,1,0,0,0,1,0,0,0,0,0,0,0,3,1,3,25.0,Matches
Jake Evans,169,N/a,FW,Leicester City,N/a,N/a,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/a,Matches
Jake O'Brien,382,ieIRL,DF,Everton,23-344,2001,13.5,4,0,0,10,3,3,17,3,13,0,0,0,46,31,22,58.5,Matches
Jakub Kiwior,282,plPOL,DF,Arsenal,25-068,2000,8.5,0,0,0,8,3,0,1,2,6,0,0,0,18,8,7,53.3,Matches
Jakub Moder,351,plPOL,MF,Brighton,26-017,1999,0.1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0.0,Matches
Jakub Stolarczyk,486,plPOL,GK,Leicester City,24-126,2000,6.0,1,0,0,0,0,0,0,0,1,0,0,0,7,3,0,100.0,Matches
James Bree,67,engENG,DF,Southampton,27-195,1997,9.9,0,0,0,2,4,0,24,8,10,0,0,0,56,12,4,75.0,Matches
James Garner,194,engENG,"MF,DF",Everton,24-042,2001,12.7,3,0,0,16,12,0,48,16,22,0,0,0,58,10,8,55.6,Matches
James Hill,235,engENG,DF,Bournemouth,23-104,2002,5.0,1,0,0,7,5,0,10,9,8,0,0,0,13,14,12,53.8,Matches
James Justin,267,engENG,DF,Leicester City,27-060,1998,28.2,5,0,0,20,34,2,53,42,29,0,0,0,75,57,46,55.3,Matches
James Maddison,313,engENG,MF,Tottenham,28-152,1996,19.6,6,0,0,31,63,4,95,11,18,0,0,0,73,5,7,41.7,Matches
James Mcatee,334,engENG,"MF,FW",Manchester City,22-188,2002,3.3,1,0,0,5,2,0,5,2,2,0,0,0,8,2,3,40.0,Matches
James Milner,346,engENG,MF,Brighton,39-110,1986,1.9,1,0,0,3,1,0,8,2,2,0,0,0,2,0,1,0.0,Matches
James Tarkowski,495,engENG,DF,Everton,32-156,1992,32.5,6,0,0,35,28,2,1,41,40,0,1,0,98,102,33,75.6,Matches
James Ward-Prowse,539,engENG,MF,West Ham,30-174,1994,8.4,2,0,0,8,2,0,37,5,9,0,0,0,39,5,4,55.6,Matches
Jamie Vardy,525,engENG,FW,Leicester City,38-103,1987,27.6,5,0,0,20,19,23,10,3,13,1,0,0,34,47,50,48.5,Matches
Jan Bednarek,49,plPOL,DF,Southampton,29-012,1996,25.1,7,0,0,30,11,0,1,52,18,0,1,0,100,66,33,66.7,Matches
Jan Paul van Hecke,229,nlNED,DF,Brighton,24-320,2000,28.9,8,1,1,22,22,0,11,23,25,0,0,0,119,73,48,60.3,Matches
Jannik Vestergaard,530,dkDEN,DF,Leicester City,32-264,1992,15.5,5,0,0,12,4,0,0,16,10,0,0,1,46,26,19,57.8,Matches
Jarell Quansah,416,engENG,DF,Liverpool,22-085,2003,3.5,1,0,0,7,1,0,2,5,7,0,0,0,9,5,8,38.5,Matches
Jarrad Branthwaite,66,engENG,DF,Everton,22-301,2002,24.1,4,0,0,8,14,1,2,23,18,0,0,0,77,48,34,58.5,Matches
Jarrod Bowen,64,engENG,"FW,MF",West Ham,28-125,1996,28.2,1,0,0,17,46,8,95,16,23,0,0,0,117,9,41,18.0,Matches
Jason Steele,482,engENG,GK,Brighton,34-249,1990,2.0,0,0,0,0,1,0,0,0,0,0,0,0,7,1,1,50.0,Matches
Jay Robinson,434,engENG,MF,Southampton,18-040,2007,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,N/a,Matches
Jay Stansfield,481,engENG,MF,Fulham,22-151,2002,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,N/a,Matches
Jayden Danns,120,engENG,MF,Liverpool,19-098,2006,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/a,Matches
Jayden Meghoma,341,engENG,DF,Brentford,18-300,2006,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,N/a,Matches
Jean-Clair Todibo,506,frFRA,DF,West Ham,25-115,1999,15.5,2,0,0,10,5,0,2,20,22,0,0,0,57,23,23,50.0,Matches
Jean-Philippe Mateta,329,frFRA,FW,Crystal Palace,27-300,1997,27.1,2,0,0,27,26,17,24,2,12,0,0,0,60,59,95,38.3,Matches
Jean-Ricner Bellegarde,51,frFRA,"MF,FW",Wolves,26-301,1998,16.4,3,0,0,29,39,1,37,10,18,0,0,0,55,8,18,30.8,Matches
Jefferson Lerma,298,coCOL,"MF,DF",Crystal Palace,30-181,1994,22.6,8,0,0,34,35,0,11,36,15,0,0,0,139,39,38,50.6,Matches
Jeffrey Schlupp,456,ghGHA,"MF,DF",Crystal Palace,32-122,1992,1.1,0,0,0,1,0,0,4,0,0,0,0,0,6,3,4,42.9,Matches
Jens Cajuste,81,seSWE,MF,Ipswich Town,25-257,1999,19.7,2,0,0,21,21,0,9,25,19,0,0,0,98,12,20,37.5,Matches
Jeremy Doku,141,beBEL,"FW,MF",Manchester City,22-332,2002,14.5,1,0,0,7,30,5,48,4,19,0,0,0,52,0,10,0.0,Matches
Jeremy Monga,352,N/a,FW,Leicester City,N/a,N/a,0.3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0.0,Matches
Jeremy Sarmiento,449,ecECU,MF,Brighton,22-312,2002,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,N/a,Matches
Jesper Lindstrøm,305,dkDEN,FW,Everton,25-054,2000,13.8,2,0,0,15,10,1,71,12,25,0,0,0,70,6,12,33.3,Matches
Joachim Andersen,23,dkDEN,DF,Crystal Palace,28-328,1996,1.0,1,0,0,2,0,0,1,0,1,0,0,0,7,2,0,100.0,Matches
Joe Aribo,32,ngNGA,"MF,DF",Southampton,28-277,1996,21.2,1,0,0,20,28,1,10,20,30,0,1,0,110,25,21,54.3,Matches
Joe Gomez,204,engENG,DF,Liverpool,27-336,1997,5.8,1,0,0,2,3,0,2,7,10,0,0,0,34,9,4,69.2,Matches
Joe Lumley,309,engENG,GK,Southampton,30-068,1995,3.0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,66.7,Matches
Joe Willock,551,engENG,"MF,FW",Newcastle Utd,25-247,1999,9.9,2,0,0,19,11,3,13,5,14,0,0,0,34,3,10,23.1,Matches
Joel Ward,538,engENG,DF,Crystal Palace,35-177,1989,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,Matches
Joelinton,260,brBRA,"MF,FW",Newcastle Utd,28-253,1996,26.6,10,0,0,58,35,7,16,23,35,0,0,0,149,59,46,56.2,Matches
John McGinn,337,sctSCO,"MF,FW",Aston Villa,30-188,1994,22.1,7,0,0,43,63,3,50,14,22,1,0,0,92,15,10,60.0,Matches
John Stones,487,engENG,"DF,MF",Manchester City,30-331,1994,6.1,1,0,0,2,2,0,0,4,2,0,0,0,22,8,6,57.1,Matches
Jonny Evans,170,nirNIR,DF,Manchester Utd,37-111,1988,3.2,1,0,0,5,6,0,0,4,5,0,0,0,15,8,3,72.7,Matches
Jordan Ayew,40,ghGHA,"FW,MF",Crystal Palace,33-225,1991,0.2,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,50.0,Matches
Jordan Pickford,410,engENG,GK,Everton,31-048,1994,33.0,7,0,0,0,6,0,0,1,0,0,0,0,29,4,1,80.0,Matches
Jorge Cuenca,114,esESP,DF,Fulham,25-158,1999,2.9,0,0,0,2,2,0,1,2,2,0,0,0,9,6,3,66.7,Matches
Jorginho,265,itITA,MF,Arsenal,33-125,1991,7.8,5,0,0,15,17,0,1,7,4,0,0,0,54,1,6,14.3,Matches
Joshua Acheampong,2,engENG,DF,Chelsea,18-354,2006,1.9,1,0,0,0,1,0,0,1,1,0,0,0,7,1,6,14.3,Matches
Joshua King,280,engENG,"MF,FW",Fulham,18-111,2007,0.9,0,0,0,2,2,0,1,1,3,0,0,0,3,0,0,N/a,Matches
Joshua Zirkzee,566,nlNED,"FW,MF",Manchester Utd,23-337,2001,15.6,2,0,0,9,13,3,4,6,8,1,0,0,57,21,54,28.0,Matches
José Sá,441,ptPOR,GK,Wolves,32-097,1993,25.0,2,0,0,3,8,0,0,0,2,0,3,0,29,8,0,100.0,Matches
Jota Silva,466,ptPOR,"FW,MF",Nott'ham Forest,25-266,1999,9.2,5,0,0,24,22,7,19,12,13,1,0,0,42,21,27,43.8,Matches
João Félix,175,ptPOR,"FW,MF",Chelsea,25-165,1999,4.1,2,0,0,6,17,1,0,3,3,0,0,0,22,4,5,44.4,Matches
João Gomes,200,brBRA,MF,Wolves,24-071,2001,28.9,10,1,1,64,36,1,26,25,56,0,0,0,168,9,23,28.1,Matches
João Pedro,259,brBRA,"FW,MF",Brighton,23-210,2001,21.6,4,1,0,26,46,2,22,9,12,3,1,0,59,41,43,48.8,Matches
Joël Veltman,527,nlNED,DF,Brighton,33-099,1992,18.3,4,0,0,26,42,0,23,18,28,0,1,0,67,21,18,53.8,Matches
Joško Gvardiol,220,hrCRO,DF,Manchester City,23-091,2002,32.4,2,0,0,13,21,2,19,36,34,0,0,0,130,48,33,59.3,Matches
Julian Araujo,29,mxMEX,DF,Bournemouth,23-254,2001,4.0,1,0,0,4,1,0,5,4,3,0,0,0,26,2,6,25.0,Matches
Julio Enciso,162,pyPAR,"MF,FW",Ipswich Town,21-091,2004,6.1,3,0,0,5,11,0,8,1,7,0,0,0,32,6,14,30.0,Matches
Julio Soler,476,arARG,FW,Bournemouth,20-067,2005,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,N/a,Matches
Jurriën Timber,505,nlNED,DF,Arsenal,23-311,2001,26.9,7,0,0,31,29,6,28,22,38,0,0,0,94,22,20,52.4,Matches
Justin Devenny,128,nirNIR,MF,Crystal Palace,21-195,2003,4.8,1,0,0,7,0,1,17,0,9,0,0,0,21,2,13,13.3,Matches
Justin Kluivert,283,nlNED,"MF,FW",Bournemouth,25-354,1999,22.5,7,0,0,39,27,5,76,13,9,1,0,0,68,7,23,23.3,Matches
Jáder Durán,152,coCOL,FW,Aston Villa,21-132,2003,7.1,3,1,0,14,15,5,3,0,7,0,0,0,19,19,19,50.0,Matches
Jørgen Strand Larsen,488,noNOR,FW,Wolves,25-077,2000,26.5,4,0,0,46,17,14,6,5,6,0,0,0,42,63,94,40.1,Matches
Kaelan Casey,87,engENG,DF,West Ham,20-178,2004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,Matches
Kai Havertz,227,deGER,"FW,MF",Arsenal,25-317,1999,20.4,4,0,0,36,21,14,11,6,9,0,0,0,39,62,73,45.9,Matches
Kalvin Phillips,407,engENG,MF,Ipswich Town,29-143,1995,13.5,6,1,1,28,19,0,18,19,19,0,0,0,68,7,21,25.0,Matches
Kamaldeen Sulemana,490,ghGHA,"FW,MF",Southampton,23-068,2002,11.6,0,0,0,16,10,2,23,5,13,0,0,0,48,6,20,23.1,Matches
Kaoru Mitoma,350,jpJPN,"FW,MF",Brighton,27-339,1997,27.7,1,0,0,39,23,5,69,13,24,0,0,0,92,24,26,48.0,Matches
Kasey McAteer,335,ieIRL,"FW,MF",Leicester City,23-153,2001,5.4,1,0,0,13,13,2,14,3,8,0,0,0,28,9,14,39.1,Matches
Keane Lewis-Potter,300,engENG,"DF,FW",Brentford,24-061,2001,30.2,5,0,0,14,27,4,67,19,26,1,0,0,131,26,33,44.1,Matches
Kenny Tete,500,nlNED,DF,Fulham,29-197,1995,15.0,3,0,0,25,13,0,21,28,29,0,0,0,54,16,11,59.3,Matches
Kepa Arrizabalaga,35,esESP,GK,Bournemouth,30-203,1994,26.0,3,0,0,2,5,0,0,0,0,0,2,0,46,6,1,85.7,Matches
Kevin Danso,121,atAUT,DF,Tottenham,26-217,1998,4.4,0,0,0,4,5,0,1,2,4,0,0,0,14,9,7,56.3,Matches
Kevin De Bruyne,125,beBEL,"MF,FW",Manchester City,33-300,1991,16.2,2,0,0,14,16,5,115,7,8,0,0,0,53,4,14,22.2,Matches
Kevin Schade,454,deGER,FW,Brentford,23-148,2001,21.5,3,0,0,19,31,13,36,5,23,0,0,0,71,75,62,54.7,Matches
Kieran Tierney,504,sctSCO,"DF,FW",Arsenal,27-323,1997,2.0,0,0,0,0,2,2,10,2,4,0,0,0,3,3,5,37.5,Matches
Kieran Trippier,516,engENG,DF,Newcastle Utd,34-217,1990,12.2,1,0,0,13,9,2,62,11,19,0,0,0,57,19,10,65.5,Matches
Kiernan Dewsbury-Hall,129,engENG,"MF,FW",Chelsea,26-230,1998,2.9,0,0,0,4,6,0,2,1,5,0,0,0,8,0,1,0.0,Matches
Kim Jisoo,258,krKOR,DF,Brentford,20-121,2004,0.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,N/a,Matches
Kobbie Mainoo,318,engENG,MF,Manchester Utd,20-005,2005,15.0,5,0,0,24,19,2,4,18,24,0,0,0,74,17,25,40.5,Matches
Konstantinos Mavropanos,331,grGRE,DF,West Ham,27-134,1997,20.6,5,1,1,16,14,3,2,38,22,0,0,0,65,55,23,70.5,Matches
Kosta Nedeljković,370,rsSRB,DF,Aston Villa,19-129,2005,1.4,0,0,0,0,1,0,1,0,5,0,0,0,4,0,1,0.0,Matches
Kostas Tsimikas,518,grGRE,DF,Liverpool,28-347,1996,7.4,2,0,0,9,6,1,53,10,17,0,0,0,26,5,6,45.5,Matches
Kristoffer Ajer,10,noNOR,DF,Brentford,27-007,1998,15.4,4,0,0,11,6,1,14,12,16,0,0,0,41,27,22,55.1,Matches
Kyle Walker,533,engENG,DF,Manchester City,34-331,1990,10.8,3,0,0,6,5,1,14,3,10,0,0,0,46,9,7,56.3,Matches
Kyle Walker-Peters,534,engENG,DF,Southampton,28-011,1997,30.4,5,0,0,26,48,2,51,17,28,0,0,0,126,10,20,33.3,Matches
Lamare Bogarde,61,nlNED,"DF,MF",Aston Villa,21-109,2004,5.3,2,0,0,8,11,0,0,1,6,0,0,0,13,6,6,50.0,Matches
Leandro Trossard,517,beBEL,FW,Arsenal,30-141,1994,25.2,4,1,1,24,41,5,78,9,16,0,0,0,90,6,21,22.2,Matches
Leif Davis,123,engENG,DF,Ipswich Town,25-102,2000,28.5,5,1,0,25,30,3,148,25,26,0,2,0,111,33,22,60.0,Matches
Leny Yoro,562,frFRA,DF,Manchester Utd,19-162,2005,10.9,5,0,0,8,1,1,1,17,10,0,0,0,34,14,13,51.9,Matches
Leon Bailey,43,jmJAM,"FW,MF",Aston Villa,27-258,1997,12.6,3,0,0,12,18,3,34,3,4,1,0,0,59,6,9,40.0,Matches
Lesley Ugochukwu,522,frFRA,MF,Southampton,21-029,2004,15.1,5,0,0,26,14,0,5,12,22,0,1,0,57,16,16,50.0,Matches
Levi Colwill,107,engENG,DF,Chelsea,22-057,2003,30.0,8,0,0,39,18,4,13,31,25,0,1,0,103,74,49,60.2,Matches
Lewis Cook,108,engENG,"MF,DF",Bournemouth,28-080,1997,30.1,8,0,0,46,10,3,125,40,41,0,1,0,178,40,34,54.1,Matches
Lewis Dunk,151,engENG,DF,Brighton,33-154,1991,21.1,5,0,0,7,8,2,4,12,9,0,0,1,99,47,28,62.7,Matches
Lewis Hall,222,engENG,DF,Newcastle Utd,20-228,2004,24.3,3,0,0,9,21,1,110,18,41,0,0,0,119,30,31,49.2,Matches
Lewis Miley,345,engENG,MF,Newcastle Utd,18-358,2006,2.5,0,0,0,3,1,0,0,2,9,0,0,0,14,5,5,50.0,Matches
Lewis Orford,394,engENG,MF,West Ham,19-065,2006,0.5,0,0,0,0,0,0,1,1,0,0,0,0,7,0,1,0.0,Matches
Liam Delap,126,engENG,FW,Ipswich Town,22-075,2003,26.2,8,0,0,64,46,13,5,2,7,2,0,0,57,50,62,44.6,Matches
Lisandro Martínez,327,arARG,DF,Manchester Utd,27-096,1998,19.5,7,0,0,22,7,0,9,32,24,0,0,0,81,16,13,55.2,Matches
Lloyd Kelly,275,engENG,DF,Newcastle Utd,26-200,1998,3.4,2,0,0,5,5,1,1,1,4,0,0,0,19,6,2,75.0,Matches
Lucas Bergvall,55,seSWE,MF,Tottenham,19-081,2006,12.5,3,0,0,20,14,0,18,22,19,0,0,0,71,8,8,50.0,Matches
Lucas Digne,134,frFRA,DF,Aston Villa,31-278,1993,24.9,4,0,0,20,14,7,138,25,36,0,0,0,98,34,26,56.7,Matches
Lucas Paquetá,402,brBRA,"MF,FW",West Ham,27-240,1997,24.1,8,0,0,48,55,6,27,16,35,0,1,0,137,44,57,43.6,Matches
Luis Díaz,132,coCOL,FW,Liverpool,28-101,1997,23.9,2,0,0,46,29,10,29,7,21,2,0,0,96,12,33,26.7,Matches
Luis Guilherme,215,brBRA,"MF,FW",West Ham,19-074,2006,1.5,0,0,0,0,4,0,8,3,0,0,0,0,7,2,1,66.7,Matches
Luis Sinisterra,469,coCOL,"FW,MF",Bournemouth,25-311,1999,2.6,0,0,0,4,2,1,7,1,2,0,0,0,17,3,7,30.0,Matches
Luke Shaw,463,engENG,DF,Manchester Utd,29-286,1995,0.9,0,0,0,1,0,0,1,1,2,0,0,0,6,0,0,N/a,Matches
Luke Thomas,502,engENG,DF,Leicester City,23-318,2001,7.7,1,0,0,3,5,0,19,11,18,0,1,0,27,8,11,42.1,Matches
Luke Woolfenden,559,engENG,DF,Ipswich Town,26-185,1998,11.2,2,0,0,5,2,1,0,18,6,0,0,0,33,15,11,57.7,Matches
Mads Hermansen,233,dkDEN,GK,Leicester City,24-287,2000,25.5,1,0,0,0,3,0,0,0,1,0,0,0,17,4,1,80.0,Matches
Mads Roerslev,437,dkDEN,DF,Brentford,25-304,1999,12.2,2,0,0,6,10,0,31,4,8,0,0,0,39,10,14,41.7,Matches
Malo Gusto,219,frFRA,DF,Chelsea,21-340,2003,20.2,4,0,0,20,18,2,51,23,28,0,0,0,114,8,15,34.8,Matches
Manuel Akanji,11,chSUI,DF,Manchester City,29-279,1995,19.0,3,0,0,16,9,0,11,7,10,0,0,0,86,24,29,45.3,Matches
Manuel Ugarte Ribeiro,521,uyURU,MF,Manchester Utd,24-013,2001,17.7,9,0,0,35,31,0,7,25,43,0,0,1,110,17,17,50.0,Matches
Marc Cucurella,113,esESP,DF,Chelsea,26-276,1998,28.2,10,1,1,32,31,3,29,22,36,0,0,0,110,29,51,36.3,Matches
Marc Guiu,217,esESP,FW,Chelsea,19-110,2006,0.8,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0.0,Matches
Marc Guéhi,214,engENG,DF,Crystal Palace,24-285,2000,32.0,9,1,1,22,26,1,13,25,31,0,0,3,135,66,50,56.9,Matches
Marco Asensio,36,esESP,"MF,FW",Aston Villa,29-093,1996,5.3,1,0,0,8,6,2,22,1,5,0,0,0,20,0,1,0.0,Matches
Marcos Senesi,461,arARG,DF,Bournemouth,27-349,1997,11.2,5,0,0,19,7,0,10,11,21,0,0,0,67,23,27,46.0,Matches
Marcus Harness,224,engENG,MF,Ipswich Town,29-059,1996,0.5,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,N/a,Matches
Marcus Rashford,420,engENG,"FW,MF",Manchester Utd,27-175,1997,10.9,2,0,0,8,7,7,27,4,4,0,0,0,24,5,7,41.7,Matches
Marcus Tavernier,496,engENG,"FW,MF",Bournemouth,26-033,1999,17.3,5,0,0,25,20,4,89,4,23,0,0,0,96,22,30,42.3,Matches
Mario Lemina,296,gaGAB,"MF,DF",Wolves,31-235,1993,15.2,4,0,0,17,8,4,10,27,31,0,1,0,73,25,16,61.0,Matches
Mark Flekken,181,nlNED,GK,Brentford,31-315,1993,31.4,1,0,0,0,3,0,0,0,4,0,0,0,35,4,0,100.0,Matches
Mark Travers,514,ieIRL,GK,Bournemouth,25-341,1999,5.0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,100.0,Matches
Marshall Munetsi,361,zwZIM,"MF,FW",Wolves,28-306,1996,7.8,0,0,0,11,8,3,4,5,9,0,0,0,23,22,17,56.4,Matches
Martial Godo,199,engENG,FW,Fulham,22-041,2003,0.2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0.0,Matches
Martin Dúbravka,150,skSVK,GK,Newcastle Utd,36-099,1989,10.0,0,0,0,0,1,0,0,0,0,0,0,0,18,4,0,100.0,Matches
Martin Ødegaard,567,noNOR,MF,Arsenal,26-128,1998,22.7,4,0,0,10,20,1,80,4,11,0,0,0,86,8,7,53.3,Matches
Mason Holgate,238,engENG,"FW,DF",Everton,28-184,1996,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,Matches
Mason Mount,358,engENG,"MF,FW",Manchester Utd,26-104,1999,3.9,3,0,0,12,7,0,8,2,2,0,0,0,9,3,6,33.3,Matches
Massimo Luongo,310,auAUS,MF,Ipswich Town,32-211,1992,2.1,0,0,0,1,2,0,1,2,5,0,0,0,10,1,0,100.0,Matches
Mateo Kovačić,286,hrCRO,MF,Manchester City,30-353,1994,21.8,5,0,0,22,22,0,0,20,36,0,0,0,109,9,7,56.3,Matches
Mateus Fernandes,179,ptPOR,MF,Southampton,20-288,2004,27.8,8,0,0,40,48,3,102,19,43,0,0,0,155,13,9,59.1,Matches
Matheus Cunha,115,brBRA,"MF,FW",Wolves,25-332,1999,25.0,3,0,0,39,63,8,118,16,20,0,0,0,116,10,27,27.0,Matches
Matheus França,186,brBRA,"FW,MF",Crystal Palace,21-023,2004,0.3,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,N/a,Matches
Matheus Nunes,378,ptPOR,"DF,MF",Manchester City,26-240,1998,15.6,4,0,0,28,14,6,37,12,18,0,1,0,57,13,15,46.4,Matches
