Player,Rk,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_2,Ast_2,G+A_2,G-PK_2,G+A-PK,xG_2,xAG_2,xG+xAG,npxG_2,npxG+xAG_2,Matches
Chris Richards,430,usUSA,DF,Crystal Palace,25-027,2000,20,18,"1,562",17.4,1,0,1,1,0,0,4,1,1.2,1.2,0.1,1.3,5,34,1,0.06,0.00,0.06,0.06,0.06,0.07,0.01,0.08,0.07,0.08,Matches
Chris Wood,557,nzNZL,FW,Nott'ham Forest,33-138,1991,31,30,"2,509",27.9,19,3,22,16,3,3,1,0,11.1,8.8,2.3,11.0,13,34,74,0.68,0.11,0.79,0.57,0.68,0.40,0.08,0.48,0.31,0.40,Matches
Christian Eriksen,165,dkDEN,MF,Manchester Utd,33-069,1992,19,11,993,11.0,0,1,1,0,0,0,4,0,0.3,0.3,2.6,2.9,10,49,28,0.00,0.09,0.09,0.00,0.09,0.02,0.24,0.26,0.02,0.26,Matches
Christian Nørgaard,381,dkDEN,MF,Brentford,31-045,1994,29,29,"2,369",26.3,5,2,7,5,0,0,5,1,3.6,3.6,0.8,4.4,12,122,34,0.19,0.08,0.27,0.19,0.27,0.14,0.03,0.17,0.14,0.17,Matches
Christian Walton,535,engENG,GK,Ipswich Town,29-166,1995,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Christopher Nkunku,376,frFRA,FW,Chelsea,27-161,1997,27,9,921,10.2,3,2,5,3,0,0,2,0,4.8,4.8,2.1,6.9,17,25,68,0.29,0.20,0.49,0.29,0.49,0.47,0.21,0.68,0.47,0.67,Matches
Cody Gakpo,190,nlNED,FW,Liverpool,25-352,1999,30,18,"1,560",17.3,8,3,11,8,0,0,4,0,6.2,6.2,3.5,9.7,45,49,237,0.46,0.17,0.63,0.46,0.63,0.36,0.20,0.56,0.36,0.56,Matches
Cole Palmer,400,engENG,MF,Chelsea,22-353,2002,32,31,"2,742",30.5,14,8,22,11,3,4,6,0,15.8,12.7,9.2,21.9,101,191,161,0.46,0.26,0.72,0.36,0.62,0.52,0.30,0.82,0.42,0.72,Matches
Conor Bradley,65,nirNIR,DF,Liverpool,21-289,2003,15,4,533,5.9,0,1,1,0,0,0,3,0,0.6,0.6,0.5,1.1,26,25,27,0.00,0.17,0.17,0.00,0.17,0.10,0.08,0.18,0.10,0.18,Matches
Conor Chaplin,93,engENG,"MF,FW",Ipswich Town,28-067,1997,17,7,625,6.9,1,1,2,1,0,0,1,0,1.2,1.2,0.6,1.8,10,25,20,0.14,0.14,0.29,0.14,0.29,0.17,0.09,0.26,0.17,0.26,Matches
Conor Coady,103,engENG,DF,Leicester City,32-058,1993,17,14,"1,264",14.0,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,2,26,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Conor Townsend,511,engENG,DF,Ipswich Town,32-051,1993,6,3,335,3.7,0,1,1,0,0,0,1,0,0.0,0.0,0.7,0.7,2,8,13,0.00,0.27,0.27,0.00,0.27,0.01,0.18,0.18,0.01,0.18,Matches
Craig Dawson,124,engENG,DF,Wolves,34-353,1990,15,10,971,10.8,0,0,0,0,0,0,2,0,0.5,0.5,0.0,0.5,6,20,5,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Matches
Cristian Romero,439,arARG,DF,Tottenham,26-362,1998,18,18,"1,416",15.7,1,0,1,1,0,0,3,0,1.6,1.6,0.6,2.2,12,71,3,0.06,0.00,0.06,0.06,0.06,0.10,0.04,0.14,0.10,0.14,Matches
Crysencio Summerville,491,nlNED,"FW,MF",West Ham,23-176,2001,19,7,786,8.7,1,1,2,1,0,0,2,0,1.6,1.6,1.7,3.3,29,18,71,0.11,0.11,0.23,0.11,0.23,0.19,0.19,0.38,0.19,0.38,Matches
Curtis Jones,264,engENG,"MF,DF",Liverpool,24-084,2001,28,16,"1,415",15.7,3,3,6,3,0,0,3,1,4.1,4.1,1.0,5.1,21,83,67,0.19,0.19,0.38,0.19,0.38,0.26,0.06,0.32,0.26,0.32,Matches
Daichi Kamada,270,jpJPN,MF,Crystal Palace,28-262,1996,30,13,"1,338",14.9,0,0,0,0,0,0,3,1,1.0,1.0,1.8,2.8,23,73,52,0.00,0.00,0.00,0.00,0.00,0.07,0.12,0.19,0.07,0.19,Matches
Dan Burn,76,engENG,DF,Newcastle Utd,32-350,1992,32,32,"2,880",32.0,0,0,0,0,0,0,9,0,1.3,1.3,0.8,2.1,9,54,9,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.07,0.04,0.07,Matches
Dane Scarlett,453,engENG,"FW,MF",Tottenham,21-031,2004,3,0,34,0.4,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.1,1,1,1,0.00,2.65,2.65,0.00,2.65,0.09,0.12,0.22,0.09,0.22,Matches
Dango Ouattara,397,bfBFA,FW,Bournemouth,23-072,2002,30,19,"1,843",20.5,7,4,11,7,0,0,2,0,8.2,8.2,5.2,13.3,73,41,184,0.34,0.20,0.54,0.34,0.54,0.40,0.25,0.65,0.40,0.65,Matches
Daniel Bentley,53,engENG,GK,Wolves,31-285,1993,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Daniel Jebbison,254,engENG,FW,Bournemouth,21-254,2003,11,0,75,0.8,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,2,3,11,0.00,0.00,0.00,0.00,0.00,0.25,0.24,0.48,0.25,0.48,Matches
Daniel Muñoz,363,coCOL,DF,Crystal Palace,28-333,1996,33,33,"2,868",31.9,4,4,8,4,0,0,9,0,4.6,4.6,4.4,9.0,49,83,183,0.13,0.13,0.25,0.13,0.25,0.14,0.14,0.28,0.14,0.28,Matches
Daniel Podence,412,ptPOR,"MF,FW",Wolves,29-185,1995,2,0,48,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,3,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,Matches
Danilo,119,brBRA,"MF,FW",Nott'ham Forest,23-360,2001,7,5,267,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,11,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Danny Ings,245,engENG,"FW,MF",West Ham,32-275,1992,15,1,284,3.2,1,2,3,1,0,0,0,0,2.3,2.3,1.3,3.5,6,5,29,0.32,0.63,0.95,0.32,0.95,0.72,0.41,1.12,0.72,1.12,Matches
Danny Ward,537,wlsWAL,GK,Leicester City,31-306,1993,2,1,135,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Danny Welbeck,543,engENG,FW,Brighton,34-149,1990,26,20,"1,762",19.6,9,4,13,9,0,0,4,0,8.0,8.0,1.1,9.1,18,39,77,0.46,0.20,0.66,0.46,0.66,0.41,0.05,0.47,0.41,0.47,Matches
Dara O'Shea,384,ieIRL,DF,Ipswich Town,26-051,1999,30,30,"2,672",29.7,0,2,2,0,0,0,6,0,1.1,1.1,0.5,1.7,3,70,6,0.00,0.07,0.07,0.00,0.07,0.04,0.02,0.06,0.04,0.06,Matches
Darwin Núñez,379,uyURU,FW,Liverpool,25-304,1999,25,8,"1,010",11.2,5,2,7,5,0,0,8,0,5.0,5.0,1.2,6.2,20,25,67,0.45,0.18,0.62,0.45,0.62,0.44,0.11,0.55,0.44,0.55,Matches
David Brooks,71,wlsWAL,"FW,MF",Bournemouth,27-290,1997,25,8,815,9.1,2,0,2,2,0,0,3,0,2.2,2.2,1.7,3.9,25,27,75,0.22,0.00,0.22,0.22,0.22,0.24,0.19,0.43,0.24,0.43,Matches
David Raya,422,esESP,GK,Arsenal,29-221,1995,34,34,"3,060",34.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,12,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Dean Henderson,231,engENG,GK,Crystal Palace,28-043,1997,34,34,"3,060",34.0,0,0,0,0,0,0,3,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Dean Huijsen,241,esESP,DF,Bournemouth,20-010,2005,27,22,"2,054",22.8,2,1,3,2,0,0,7,0,1.7,1.7,2.0,3.7,35,107,10,0.09,0.04,0.13,0.09,0.13,0.08,0.09,0.16,0.08,0.16,Matches
Declan Rice,429,engENG,MF,Arsenal,26-100,1999,32,30,"2,572",28.6,2,7,9,2,0,0,7,1,2.7,2.7,6.5,9.1,87,175,88,0.07,0.24,0.31,0.07,0.31,0.09,0.23,0.32,0.09,0.32,Matches
Dejan Kulusevski,290,seSWE,"MF,FW",Tottenham,24-364,2000,29,25,"2,236",24.8,7,4,11,7,0,0,3,0,4.2,4.2,6.1,10.3,117,121,207,0.28,0.16,0.44,0.28,0.44,0.17,0.25,0.41,0.17,0.41,Matches
Destiny Udogie,520,itITA,DF,Tottenham,22-147,2002,23,22,"1,744",19.4,0,1,1,0,0,0,2,0,0.3,0.3,1.4,1.7,51,117,92,0.00,0.05,0.05,0.00,0.05,0.02,0.07,0.09,0.02,0.09,Matches
Diego Carlos,84,brBRA,DF,Aston Villa,32-040,1993,10,8,830,9.2,0,0,0,0,0,0,1,0,0.6,0.6,0.0,0.6,3,34,0,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,Matches
Diego Gómez,203,pyPAR,MF,Brighton,22-028,2003,11,4,431,4.8,0,0,0,0,0,0,0,0,0.4,0.4,0.5,0.9,5,18,13,0.00,0.00,0.00,0.00,0.00,0.09,0.11,0.20,0.09,0.20,Matches
Diogo Dalot,117,ptPOR,DF,Manchester Utd,26-037,1999,32,31,"2,788",31.0,0,3,3,0,0,0,5,0,2.0,2.0,2.0,4.0,62,102,164,0.00,0.10,0.10,0.00,0.10,0.06,0.07,0.13,0.06,0.13,Matches
Diogo Jota,266,ptPOR,FW,Liverpool,28-141,1996,22,13,"1,074",11.9,6,3,9,6,0,0,2,0,7.3,7.3,1.8,9.1,36,33,85,0.50,0.25,0.75,0.50,0.75,0.61,0.15,0.76,0.61,0.76,Matches
Divin Mubama,359,engENG,FW,Manchester City,20-181,2004,1,0,28,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.12,0.12,0.12,Matches
Djed Spence,480,engENG,DF,Tottenham,24-258,2000,20,15,"1,424",15.8,1,2,3,1,0,0,4,1,0.5,0.5,1.7,2.2,52,94,67,0.06,0.13,0.19,0.06,0.19,0.03,0.11,0.14,0.03,0.14,Matches
Dominic Calvert-Lewin,83,engENG,FW,Everton,28-039,1997,22,19,"1,574",17.5,3,1,4,3,0,0,2,0,6.1,6.1,0.6,6.7,22,19,105,0.17,0.06,0.23,0.17,0.23,0.35,0.04,0.39,0.35,0.39,Matches
Dominic Solanke,474,engENG,FW,Tottenham,27-222,1997,24,23,"2,052",22.8,7,3,10,7,0,0,0,0,9.9,9.9,2.9,12.8,29,45,87,0.31,0.13,0.44,0.31,0.44,0.43,0.13,0.56,0.43,0.56,Matches
Dominik Szoboszlai,493,huHUN,MF,Liverpool,24-181,2000,31,25,"2,190",24.3,5,3,8,5,0,0,6,0,6.9,6.9,5.1,11.9,64,110,118,0.21,0.12,0.33,0.21,0.33,0.28,0.21,0.49,0.28,0.49,Matches
Donyell Malen,320,nlNED,FW,Aston Villa,26-105,1999,11,2,273,3.0,3,0,3,3,0,0,0,0,1.7,1.7,0.1,1.7,9,5,23,0.99,0.00,0.99,0.99,0.99,0.55,0.02,0.57,0.55,0.57,Matches
Dwight McNeil,338,engENG,"MF,FW",Everton,25-153,1999,16,13,"1,157",12.9,3,4,7,3,0,0,1,0,0.9,0.9,3.8,4.7,32,61,66,0.23,0.31,0.54,0.23,0.54,0.07,0.29,0.36,0.07,0.36,Matches
Eberechi Eze,171,engENG,"MF,FW",Crystal Palace,26-299,1998,30,28,"2,337",26.0,4,8,12,4,0,1,1,0,8.2,7.4,5.2,12.6,66,85,141,0.15,0.31,0.46,0.15,0.46,0.31,0.20,0.52,0.28,0.48,Matches
Eddie Nketiah,375,engENG,"FW,MF",Crystal Palace,25-329,1999,25,8,880,9.8,1,1,2,1,0,0,5,1,4.3,4.3,1.5,5.8,37,17,65,0.10,0.10,0.20,0.10,0.20,0.44,0.15,0.59,0.44,0.59,Matches
Ederson,153,brBRA,GK,Manchester City,31-250,1993,22,22,"1,960",21.8,0,4,4,0,0,0,3,0,0.0,0.0,1.5,1.5,0,1,0,0.00,0.18,0.18,0.00,0.18,0.00,0.07,0.07,0.00,0.07,Matches
Edmond-Paris Maghoma,316,engENG,"MF,FW",Brentford,23-351,2001,8,0,119,1.3,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,4,13,4,0.00,0.00,0.00,0.00,0.00,0.09,0.08,0.17,0.09,0.17,Matches
Edson Álvarez,18,mxMEX,MF,West Ham,27-182,1997,25,19,"1,633",18.1,0,1,1,0,0,0,8,1,0.3,0.3,0.8,1.1,21,75,18,0.00,0.06,0.06,0.00,0.06,0.02,0.04,0.06,0.02,0.06,Matches
Eiran Cashin,89,ieIRL,DF,Brighton,23-166,2001,2,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,6,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Elliot Anderson,25,engENG,MF,Nott'ham Forest,22-169,2002,32,28,"2,317",25.7,2,6,8,2,0,0,6,0,1.7,1.7,3.1,4.8,37,115,78,0.08,0.23,0.31,0.08,0.31,0.06,0.12,0.19,0.06,0.19,Matches
Emerson Palmieri,401,itITA,DF,West Ham,30-264,1994,28,24,"1,930",21.4,2,1,3,2,0,0,5,0,2.0,2.0,1.5,3.4,42,60,75,0.09,0.05,0.14,0.09,0.14,0.09,0.07,0.16,0.09,0.16,Matches
Emi Buendía,72,arARG,"MF,FW",Aston Villa,28-120,1996,12,0,98,1.1,0,0,0,0,0,0,1,0,0.7,0.7,0.0,0.7,3,7,6,0.00,0.00,0.00,0.00,0.00,0.60,0.02,0.62,0.60,0.62,Matches
Emil Krafth,288,seSWE,DF,Newcastle Utd,30-265,1994,9,2,288,3.2,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,3,7,1,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,Matches
Emile Smith Rowe,473,engENG,MF,Fulham,24-270,2000,29,23,"1,827",20.3,5,2,7,5,0,0,2,0,4.1,4.1,1.1,5.2,50,116,109,0.25,0.10,0.34,0.25,0.34,0.20,0.05,0.26,0.20,0.26,Matches
Emiliano Martínez,326,arARG,GK,Aston Villa,32-234,1992,33,33,"2,880",32.0,0,0,0,0,0,0,4,0,0.0,0.0,0.5,0.5,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
Emmanuel Agbadou,6,ciCIV,DF,Wolves,27-311,1997,11,11,960,10.7,0,0,0,0,0,0,2,0,0.3,0.3,0.1,0.3,2,20,0,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.03,0.03,0.03,Matches
Enes Ünal,523,trTUR,"FW,MF",Bournemouth,27-349,1997,17,2,345,3.8,2,1,3,2,0,0,2,0,2.7,2.7,0.4,3.1,4,12,22,0.52,0.26,0.78,0.52,0.78,0.72,0.10,0.82,0.72,0.82,Matches
Enzo Fernández,180,arARG,MF,Chelsea,24-097,2001,31,27,"2,500",27.8,5,6,11,5,0,0,7,0,5.3,5.3,6.0,11.3,56,193,107,0.18,0.22,0.40,0.18,0.40,0.19,0.22,0.41,0.19,0.41,Matches
Eric da Silva Moreira,467,deGER,"MF,DF",Nott'ham Forest,18-356,2006,2,0,30,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Erling Haaland,221,noNOR,FW,Manchester City,24-277,2000,28,28,"2,480",27.6,21,3,24,19,2,3,2,0,20.8,18.4,2.8,21.2,19,18,103,0.76,0.11,0.87,0.69,0.80,0.76,0.10,0.86,0.67,0.77,Matches
Ethan Nwaneri,380,engENG,"FW,MF",Arsenal,18-034,2007,24,10,816,9.1,4,2,6,4,0,0,1,0,1.1,1.1,1.0,2.2,44,30,101,0.44,0.22,0.66,0.44,0.66,0.12,0.11,0.24,0.12,0.24,Matches
Ethan Pinnock,411,jmJAM,DF,Brentford,31-330,1993,22,21,"1,913",21.3,2,0,2,2,0,0,2,0,1.1,1.1,1.2,2.3,3,41,9,0.09,0.00,0.09,0.09,0.09,0.05,0.05,0.11,0.05,0.11,Matches
Evan Ferguson,176,ieIRL,FW,West Ham,20-187,2004,7,1,145,1.6,0,0,0,0,0,0,0,0,0.6,0.6,0.3,0.9,1,0,6,0.00,0.00,0.00,0.00,0.00,0.35,0.19,0.53,0.35,0.53,Matches
Evanilson,168,brBRA,FW,Bournemouth,25-200,1999,26,23,"1,903",21.1,9,0,9,9,0,1,0,0,11.0,10.2,1.5,11.7,25,19,86,0.43,0.00,0.43,0.43,0.43,0.52,0.07,0.59,0.48,0.56,Matches
Ezri Konsa,285,engENG,DF,Aston Villa,27-183,1997,30,29,"2,576",28.6,1,0,1,1,0,0,0,0,0.9,0.9,0.4,1.3,16,73,11,0.03,0.00,0.03,0.03,0.03,0.03,0.01,0.05,0.03,0.05,Matches
Fabian Schär,455,chSUI,DF,Newcastle Utd,33-125,1991,29,28,"2,493",27.7,4,0,4,4,0,0,7,1,2.1,2.1,0.4,2.5,14,87,17,0.14,0.00,0.14,0.14,0.14,0.08,0.01,0.09,0.08,0.09,Matches
Fabio Carvalho,85,ptPOR,"FW,MF",Brentford,22-237,2002,19,3,455,5.1,2,1,3,2,0,0,1,0,2.5,2.5,0.7,3.2,9,17,23,0.40,0.20,0.59,0.40,0.59,0.49,0.13,0.62,0.49,0.62,Matches
Facundo Buonanotte,74,arARG,"FW,MF",Leicester City,20-122,2004,28,13,"1,429",15.9,4,2,6,4,0,0,7,0,3.7,3.7,3.1,6.8,38,51,66,0.25,0.13,0.38,0.25,0.38,0.23,0.19,0.43,0.23,0.43,Matches
Federico Chiesa,95,itITA,FW,Liverpool,27-181,1997,4,0,37,0.4,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,2,2,6,0.00,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.60,0.60,Matches
Ferdi Kadioglu,269,trTUR,"DF,MF",Brighton,25-199,1999,6,5,385,4.3,1,0,1,1,0,0,1,0,0.4,0.4,0.2,0.6,1,15,27,0.23,0.00,0.23,0.23,0.23,0.10,0.04,0.14,0.10,0.14,Matches
Filip Jørgensen,268,dkDEN,GK,Chelsea,23-008,2002,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Flynn Downes,147,engENG,MF,Southampton,26-094,1999,22,20,"1,701",18.9,1,0,1,1,0,0,10,0,0.6,0.6,0.9,1.6,23,56,28,0.05,0.00,0.05,0.05,0.05,0.03,0.05,0.08,0.03,0.08,Matches
Frank Onyeka,393,ngNGA,MF,Brentford,27-113,1998,2,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Fraser Forster,185,engENG,GK,Tottenham,37-038,1988,7,7,630,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Gabriel Jesus,256,brBRA,FW,Arsenal,28-021,1997,17,6,608,6.8,3,0,3,3,0,0,4,0,3.0,3.0,0.7,3.7,15,19,57,0.44,0.00,0.44,0.44,0.44,0.44,0.10,0.54,0.44,0.54,Matches
Gabriel Magalhães,315,brBRA,DF,Arsenal,27-126,1997,28,28,"2,363",26.3,3,1,4,3,0,0,4,0,2.6,2.6,0.9,3.5,10,126,11,0.11,0.04,0.15,0.11,0.15,0.10,0.03,0.13,0.10,0.13,Matches
Gabriel Martinelli,325,brBRA,"FW,MF",Arsenal,23-310,2001,29,21,"1,956",21.7,7,4,11,7,0,0,1,0,5.9,5.9,4.5,10.3,106,44,259,0.32,0.18,0.51,0.32,0.51,0.27,0.21,0.47,0.27,0.47,Matches
George Edmundson,154,engENG,DF,Ipswich Town,27-236,1997,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
George Hirst,237,sctSCO,FW,Ipswich Town,26-068,1999,21,3,450,5.0,2,1,3,2,0,0,1,0,1.3,1.3,0.3,1.5,9,11,25,0.40,0.20,0.60,0.40,0.60,0.26,0.05,0.31,0.26,0.31,Matches
Georginio Rutter,440,frFRA,"MF,FW",Brighton,23-004,2002,28,19,"1,656",18.4,5,3,8,5,0,0,2,0,4.6,4.6,2.5,7.1,42,67,79,0.27,0.16,0.43,0.27,0.43,0.25,0.14,0.39,0.25,0.39,Matches
Gonçalo Guedes,213,ptPOR,"MF,FW",Wolves,28-146,1996,24,7,770,8.6,2,4,6,2,0,0,1,0,2.2,2.2,1.1,3.3,31,30,58,0.23,0.47,0.70,0.23,0.70,0.25,0.13,0.38,0.25,0.38,Matches
Guglielmo Vicario,531,itITA,GK,Tottenham,28-199,1996,21,21,"1,890",21.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Guido Rodríguez,436,arARG,MF,West Ham,31-012,1994,20,14,"1,018",11.3,0,0,0,0,0,0,5,0,0.2,0.2,0.1,0.3,2,31,5,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches
Gustavo Nunes,377,brBRA,"MF,FW",Brentford,19-155,2005,2,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Hamza Choudhury,98,bdBAN,"MF,DF",Leicester City,27-205,1997,4,1,131,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.4,0.4,4,3,6,0.00,0.00,0.00,0.00,0.00,0.00,0.27,0.27,0.00,0.27,Matches
Harrison Armstrong,34,engENG,MF,Everton,18-095,2007,3,0,48,0.5,0,0,0,0,0,0,1,0,0.4,0.4,0.1,0.4,1,1,0,0.00,0.00,0.00,0.00,0.00,0.69,0.14,0.82,0.69,0.82,Matches
Harrison Reed,423,engENG,MF,Fulham,30-087,1995,11,0,93,1.0,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.3,1,4,7,0.00,0.00,0.00,0.00,0.00,0.22,0.07,0.30,0.22,0.30,Matches
Harry Amass,20,engENG,DF,Manchester Utd,18-039,2007,3,2,166,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5,4,12,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.03,0.01,0.03,Matches
Harry Clarke,100,engENG,DF,Ipswich Town,24-053,2001,7,4,379,4.2,0,0,0,0,0,0,3,1,0.1,0.1,0.0,0.1,5,14,2,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches
Harry Maguire,317,engENG,DF,Manchester Utd,32-050,1993,22,16,"1,418",15.8,1,0,1,1,0,0,7,0,1.4,1.4,0.3,1.6,6,42,5,0.06,0.00,0.06,0.06,0.06,0.09,0.02,0.10,0.09,0.10,Matches
Harry Toffolo,507,engENG,DF,Nott'ham Forest,29-248,1995,4,1,137,1.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2,4,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
Harry Wilson,553,wlsWAL,"FW,MF",Fulham,28-033,1997,20,8,852,9.5,5,1,6,5,0,0,2,0,3.2,3.2,1.0,4.2,16,43,71,0.53,0.11,0.63,0.53,0.63,0.34,0.10,0.45,0.34,0.45,Matches
Harry Winks,554,engENG,MF,Leicester City,29-081,1996,22,17,"1,538",17.1,0,2,2,0,0,0,4,0,0.2,0.2,1.2,1.5,19,101,11,0.00,0.12,0.12,0.00,0.12,0.01,0.07,0.09,0.01,0.09,Matches
Harvey Barnes,46,engENG,FW,Newcastle Utd,27-136,1997,28,12,"1,337",14.9,9,4,13,9,0,0,0,0,6.2,6.2,3.4,9.6,68,63,143,0.61,0.27,0.88,0.61,0.88,0.41,0.23,0.65,0.41,0.65,Matches
Harvey Elliott,160,engENG,"MF,FW",Liverpool,22-020,2003,13,0,184,2.0,0,1,1,0,0,0,0,0,0.5,0.5,0.9,1.3,7,24,23,0.00,0.49,0.49,0.00,0.49,0.23,0.42,0.64,0.23,0.64,Matches
Hwang Hee-chan,230,krKOR,"MF,FW",Wolves,29-088,1996,19,5,645,7.2,2,0,2,2,0,0,0,0,0.8,0.8,0.1,0.9,15,12,40,0.28,0.00,0.28,0.28,0.28,0.11,0.02,0.13,0.11,0.13,Matches
Hákon Rafn Valdimarsson,417,isISL,GK,Brentford,23-193,2001,2,1,145,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Ian Maatsen,311,nlNED,DF,Aston Villa,23-045,2002,25,7,887,9.9,1,2,3,1,0,0,2,0,0.7,0.7,2.7,3.4,26,39,84,0.10,0.20,0.30,0.10,0.30,0.08,0.27,0.35,0.08,0.35,Matches
Ibrahim Sangaré,447,ciCIV,MF,Nott'ham Forest,27-143,1997,8,3,279,3.1,0,1,1,0,0,0,2,0,0.0,0.0,0.4,0.4,0,12,2,0.00,0.32,0.32,0.00,0.32,0.01,0.11,0.12,0.01,0.12,Matches
Ibrahima Konaté,284,frFRA,DF,Liverpool,25-334,1999,27,26,"2,230",24.8,1,2,3,1,0,0,5,0,1.6,1.6,1.0,2.6,21,102,2,0.04,0.08,0.12,0.04,0.12,0.07,0.04,0.11,0.07,0.11,Matches
Idrissa Gana Gueye,191,snSEN,MF,Everton,35-210,1989,32,30,"2,615",29.1,0,3,3,0,0,0,8,0,1.0,1.0,1.7,2.7,23,122,21,0.00,0.10,0.10,0.00,0.10,0.04,0.06,0.09,0.04,0.09,Matches
Igor,244,brBRA,DF,Brighton,27-076,1998,12,9,903,10.0,0,0,0,0,0,0,4,0,0.0,0.0,0.2,0.2,9,44,0,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
Iliman Ndiaye,368,snSEN,FW,Everton,25-049,2000,28,25,"2,117",23.5,7,0,7,5,2,2,3,0,5.2,3.6,1.6,5.2,78,44,105,0.30,0.00,0.30,0.21,0.21,0.22,0.07,0.29,0.15,0.22,Matches
Illia Zabarnyi,564,uaUKR,DF,Bournemouth,22-235,2002,31,30,"2,662",29.6,0,0,0,0,0,0,3,1,1.0,1.0,0.6,1.5,24,123,4,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05,Matches
