Player,Rk,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_2,Ast_2,G+A_2,G-PK_2,G+A-PK,xG_2,xAG_2,xG+xAG,npxG_2,npxG+xAG_2,Matches
Alisson,16,brBRA,GK,Liverpool,32-204,1992,23,23,"2,058",22.9,0,0,0,0,0,0,0,0,0.0,0.0,0.6,0.6,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches
Alphonse Areola,31,frFRA,GK,West Ham,32-056,1993,22,21,"1,900",21.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Altay Bayındır,48,trTUR,GK,Manchester Utd,27-010,1998,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Amad Diallo,130,ciCIV,"FW,MF",Manchester Utd,22-287,2002,22,17,"1,594",17.7,6,6,12,6,0,0,3,0,4.1,4.1,3.9,8.0,92,53,159,0.34,0.34,0.68,0.34,0.68,0.23,0.22,0.45,0.23,0.45,Matches
Amadou Onana,390,beBEL,MF,Aston Villa,23-251,2001,22,17,"1,348",15.0,3,0,3,3,0,0,4,0,2.1,2.1,0.3,2.4,20,58,13,0.20,0.00,0.20,0.20,0.20,0.14,0.02,0.16,0.14,0.16,Matches
Andreas Pereira,405,brBRA,MF,Fulham,29-113,1996,30,22,"1,834",20.4,2,4,6,2,0,1,7,0,3.4,2.6,4.3,7.0,27,98,77,0.10,0.20,0.29,0.10,0.29,0.17,0.21,0.38,0.13,0.34,Matches
Andrew Robertson,432,sctSCO,DF,Liverpool,31-044,1994,30,26,"2,218",24.6,0,0,0,0,0,0,3,1,0.9,0.9,4.1,5.1,57,163,90,0.00,0.00,0.00,0.00,0.00,0.04,0.17,0.21,0.04,0.21,Matches
André,26,brBRA,MF,Wolves,23-282,2001,28,26,"2,087",23.2,0,0,0,0,0,0,7,0,0.3,0.3,0.7,0.9,8,90,11,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,Matches
André Onana,391,cmCMR,GK,Manchester Utd,29-022,1996,32,32,"2,880",32.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
Andrés García,192,esESP,"DF,MF",Aston Villa,22-076,2003,7,5,318,3.5,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,26,15,28,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.06,0.01,0.06,Matches
