Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Matches
437,Mads Roerslev,dkDEN,DF,Brentford,25-301,1999,19,11,1101.0,12.2,0,2,2,0,0,0,2,0,0.2,0.2,3.0,3.2,17,51,54,0.00,0.16,0.16,0.00,0.16,0.02,0.24,0.26,0.02,0.26,Matches
219,Malo Gusto,frFRA,DF,Chelsea,21-337,2003,28,19,1819.0,20.2,0,1,1,0,0,0,4,0,1.7,1.7,1.2,2.9,48,118,84,0.00,0.05,0.05,0.00,0.05,0.08,0.06,0.15,0.08,0.15,Matches
521,Manuel Ugarte Ribeiro,uyURU,MF,Manchester Utd,24-010,2001,25,20,1590.0,17.7,1,0,1,1,0,0,9,0,0.8,0.8,0.6,1.4,10,53,19,0.06,0.00,0.06,0.06,0.06,0.05,0.03,0.08,0.05,0.08,Matches
113,Marc Cucurella,esESP,DF,Chelsea,26-273,1998,31,28,2538.0,28.2,4,1,5,4,0,0,10,1,2.2,2.2,1.8,4.0,30,97,106,0.14,0.04,0.18,0.14,0.18,0.08,0.06,0.14,0.08,0.14,Matches
214,Marc Guéhi,engENG,DF,Crystal Palace,24-282,2000,31,31,2789.0,31.0,3,2,5,3,0,0,9,1,1.7,1.7,1.2,2.9,22,124,8,0.10,0.06,0.16,0.10,0.16,0.05,0.04,0.09,0.05,0.09,Matches
36,Marco Asensio,esESP,"MF,FW",Aston Villa,29-090,1996,8,5,466.0,5.2,3,1,4,3,0,2,1,0,4.2,2.6,0.8,3.4,15,30,23,0.58,0.19,0.77,0.58,0.77,0.81,0.16,0.96,0.50,0.66,Matches
461,Marcos Senesi,arARG,DF,Bournemouth,27-346,1997,14,12,1008.0,11.2,0,0,0,0,0,0,5,0,0.8,0.8,0.2,1.0,12,51,5,0.00,0.00,0.00,0.00,0.00,0.07,0.02,0.09,0.07,0.09,Matches
421,Marcus Rashford,engENG,FW,Aston Villa,27-172,1997,9,3,369.0,4.1,1,2,3,1,0,0,0,0,1.6,1.6,2.1,3.7,20,13,40,0.24,0.49,0.73,0.24,0.73,0.38,0.51,0.89,0.38,0.89,Matches
420,Marcus Rashford,engENG,"FW,MF",Manchester Utd,27-172,1997,15,12,978.0,10.9,4,1,5,4,0,0,2,0,1.7,1.7,2.1,3.8,20,21,79,0.37,0.09,0.46,0.37,0.46,0.16,0.19,0.35,0.16,0.35,Matches
496,Marcus Tavernier,engENG,"FW,MF",Bournemouth,26-030,1999,24,16,1561.0,17.3,3,5,8,3,0,0,5,0,5.2,5.2,2.8,8.1,37,99,103,0.17,0.29,0.46,0.17,0.46,0.30,0.16,0.46,0.30,0.46,Matches
296,Mario Lemina,gaGAB,"MF,DF",Wolves,31-232,1993,17,15,1364.0,15.2,1,3,4,1,0,0,4,0,1.4,1.4,1.1,2.5,8,48,21,0.07,0.20,0.26,0.07,0.26,0.09,0.07,0.17,0.09,0.17,Matches
181,Mark Flekken,nlNED,GK,Brentford,31-312,1993,32,32,2825.0,31.4,0,1,1,0,0,0,1,0,0.0,0.0,0.2,0.2,0,0,0,0.00,0.03,0.03,0.00,0.03,0.00,0.01,0.01,0.00,0.01,Matches
514,Mark Travers,ieIRL,GK,Bournemouth,25-338,1999,5,5,450.0,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
361,Marshall Munetsi,zwZIM,"MF,FW",Wolves,28-303,1996,9,8,698.0,7.8,1,1,2,1,0,0,0,0,3.0,3.0,0.9,3.8,4,7,23,0.13,0.13,0.26,0.13,0.26,0.38,0.11,0.50,0.38,0.50,Matches
150,Martin Dúbravka,skSVK,GK,Newcastle Utd,36-096,1989,10,10,900.0,10.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
358,Mason Mount,engENG,"MF,FW",Manchester Utd,26-101,1999,12,4,348.0,3.9,0,0,0,0,0,0,3,0,1.2,1.2,0.2,1.4,7,15,15,0.00,0.00,0.00,0.00,0.00,0.32,0.05,0.37,0.32,0.37,Matches
310,Massimo Luongo,auAUS,MF,Ipswich Town,32-208,1992,8,2,191.0,2.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,5,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
286,Mateo Kovačić,hrCRO,MF,Manchester City,30-350,1994,27,21,1870.0,20.8,6,1,7,6,0,0,5,0,1.7,1.7,3.5,5.2,49,136,14,0.29,0.05,0.34,0.29,0.34,0.08,0.17,0.25,0.08,0.25,Matches
179,Mateus Fernandes,ptPOR,MF,Southampton,20-285,2004,31,29,2499.0,27.8,2,3,5,2,0,0,8,0,3.7,3.7,2.6,6.3,71,127,97,0.07,0.11,0.18,0.07,0.18,0.13,0.09,0.23,0.13,0.23,Matches
115,Matheus Cunha,brBRA,"MF,FW",Wolves,25-329,1999,28,25,2253.0,25.0,14,4,18,14,0,0,3,0,7.3,7.3,6.8,14.1,95,119,141,0.56,0.16,0.72,0.56,0.72,0.29,0.27,0.56,0.29,0.56,Matches
378,Matheus Nunes,ptPOR,"DF,MF",Manchester City,26-237,1998,22,15,1314.0,14.6,0,5,5,0,0,0,3,0,0.5,0.5,4.2,4.8,53,63,143,0.00,0.34,0.34,0.00,0.34,0.04,0.29,0.33,0.04,0.33,Matches
255,Mathias Jensen,dkDEN,MF,Brentford,29-110,1996,19,8,770.0,8.6,0,2,2,0,0,0,2,0,0.2,0.2,1.6,1.8,6,55,26,0.00,0.23,0.23,0.00,0.23,0.03,0.19,0.22,0.03,0.22,Matches
499,Mathys Tel,frFRA,FW,Tottenham,19-359,2005,7,5,402.0,4.5,2,0,2,1,1,1,0,0,1.8,1.0,0.6,1.6,11,9,35,0.45,0.00,0.45,0.22,0.22,0.41,0.13,0.54,0.23,0.36,Matches
548,Mats Wieffer,nlNED,"MF,DF",Brighton,25-156,1999,20,5,602.0,6.7,1,2,3,1,0,0,4,0,0.5,0.5,1.3,1.8,6,40,10,0.15,0.30,0.45,0.15,0.45,0.08,0.19,0.27,0.08,0.27,Matches
140,Matt Doherty,ieIRL,DF,Wolves,33-095,1992,26,21,1818.0,20.2,2,1,3,2,0,0,6,0,1.0,1.0,1.5,2.5,29,73,39,0.10,0.05,0.15,0.10,0.15,0.05,0.08,0.13,0.05,0.13,Matches
383,Matt O'Riley,dkDEN,MF,Brighton,24-151,2000,16,8,677.0,7.5,1,1,2,1,0,0,1,0,1.9,1.9,1.3,3.2,16,29,40,0.13,0.13,0.27,0.13,0.27,0.26,0.17,0.43,0.26,0.43,Matches
302,Matthijs de Ligt,nlNED,DF,Manchester Utd,25-252,1999,28,24,2089.0,23.2,2,0,2,2,0,0,3,0,2.5,2.5,0.3,2.8,7,55,6,0.09,0.00,0.09,0.09,0.09,0.11,0.01,0.12,0.11,0.12,Matches
88,Matty Cash,plPOL,DF,Aston Villa,27-257,1997,22,19,1650.0,18.3,1,1,2,1,0,0,6,0,0.3,0.3,1.1,1.4,43,38,67,0.05,0.05,0.11,0.05,0.11,0.02,0.06,0.08,0.02,0.08,Matches
458,Matz Sels,beBEL,GK,Nott'ham Forest,33-054,1992,32,32,2880.0,32.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
279,Max Kilman,engENG,DF,West Ham,27-333,1997,33,33,2898.0,32.2,0,1,1,0,0,0,4,0,1.4,1.4,1.1,2.6,28,103,5,0.00,0.03,0.03,0.00,0.03,0.04,0.04,0.08,0.04,0.08,Matches
291,Maxence Lacroix,frFRA,DF,Crystal Palace,25-015,2000,30,30,2666.0,29.6,1,1,2,1,0,0,5,0,2.8,2.8,0.8,3.6,8,58,7,0.03,0.03,0.07,0.03,0.07,0.10,0.03,0.12,0.10,0.12,Matches
272,Michael Kayode,itITA,DF,Brentford,20-285,2004,7,1,128.0,1.4,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,3,2,10,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.11,0.00,0.11,Matches
273,Michael Keane,engENG,DF,Everton,32-100,1993,11,9,852.0,9.5,2,0,2,2,0,0,5,0,0.4,0.4,0.1,0.5,1,12,3,0.21,0.00,0.21,0.21,0.21,0.05,0.01,0.06,0.05,0.06,Matches
27,Michail Antonio,jmJAM,FW,West Ham,35-024,1990,14,11,836.0,9.3,1,1,2,1,0,0,1,0,2.2,2.2,1.6,3.8,29,18,59,0.11,0.11,0.22,0.11,0.22,0.24,0.17,0.41,0.24,0.41,Matches
528,Micky van de Ven,nlNED,DF,Tottenham,24-002,2001,11,10,905.0,10.1,0,2,2,0,0,0,4,0,0.6,0.6,1.2,1.7,8,47,1,0.00,0.20,0.20,0.00,0.20,0.06,0.12,0.17,0.06,0.17,Matches
342,Mikel Merino,esESP,"MF,FW",Arsenal,28-303,1996,25,15,1401.0,15.6,6,2,8,6,0,0,2,0,4.4,4.4,1.9,6.3,9,61,86,0.39,0.13,0.51,0.39,0.51,0.28,0.12,0.40,0.28,0.40,Matches
353,Mikey Moore,engENG,"FW,MF",Tottenham,17-253,2007,7,2,185.0,2.1,0,1,1,0,0,0,0,0,0.2,0.2,0.3,0.5,9,7,30,0.00,0.49,0.49,0.00,0.49,0.10,0.16,0.26,0.10,0.26,Matches
118,Mikkel Damsgaard,dkDEN,"MF,FW",Brentford,24-292,2000,33,29,2495.0,27.7,2,10,12,2,0,0,2,0,2.6,2.6,7.3,9.9,62,204,115,0.07,0.36,0.43,0.07,0.43,0.09,0.26,0.36,0.09,0.36,Matches
276,Milos Kerkez,huHUN,DF,Bournemouth,21-165,2003,33,33,2897.0,32.2,2,5,7,2,0,0,4,0,0.5,0.5,3.3,3.8,89,141,161,0.06,0.16,0.22,0.06,0.22,0.02,0.10,0.12,0.01,0.12,Matches
443,Mohamed Salah,egEGY,FW,Liverpool,32-310,1992,33,33,2921.0,32.5,27,18,45,18,9,9,1,0,23.7,16.7,12.1,28.8,138,127,407,0.83,0.55,1.39,0.55,1.11,0.73,0.37,1.10,0.51,0.89,Matches
289,Mohammed Kudus,ghGHA,"FW,MF",West Ham,24-262,2000,27,27,2241.0,24.9,3,2,5,3,0,0,1,1,6.2,6.2,2.3,8.5,87,71,189,0.12,0.08,0.20,0.12,0.20,0.25,0.09,0.34,0.25,0.34,Matches
