Player,Rk,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp_2,Att_2,Cmp%_2,Cmp_3,Att_3,Cmp%_3,Cmp_4,Att_4,Cmp%_4,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Gustavo Nunes,377,brBRA,"MF,FW",Brentford,19-155,2005,0.0,0,0,N/a,0,0,0,0,N/a,0,0,N/a,0,0,N/a,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Hamza Choudhury,98,bdBAN,"MF,DF",Leicester City,27-205,1997,1.5,72,84,85.7,991,249,47,50,94.0,23,29,79.3,2,4,50.0,0,0.4,0.2,-0.4,2,10,1,1,3,Matches
Harrison Armstrong,34,engENG,MF,Everton,18-095,2007,0.5,7,15,46.7,149,15,3,4,75.0,2,5,40.0,2,4,50.0,0,0.1,0.0,-0.1,1,1,0,0,1,Matches
Harrison Reed,423,engENG,MF,Fulham,30-087,1995,1.0,39,54,72.2,550,138,21,24,87.5,13,16,81.3,2,5,40.0,0,0.1,0.1,-0.1,1,1,1,0,4,Matches
Harry Amass,20,engENG,DF,Manchester Utd,18-039,2007,1.8,77,93,82.8,906,172,53,58,91.4,19,25,76.0,1,4,25.0,0,0.0,0.0,0.0,1,3,0,0,4,Matches
Harry Clarke,100,engENG,DF,Ipswich Town,24-053,2001,4.2,190,236,80.5,3442,1226,87,95,91.6,77,88,87.5,23,40,57.5,0,0.0,0.1,0.0,1,21,1,0,14,Matches
Harry Maguire,317,engENG,DF,Manchester Utd,32-050,1993,15.8,788,913,86.3,14677,4900,295,322,91.6,420,461,91.1,63,109,57.8,0,0.3,0.2,-0.3,6,39,3,0,42,Matches
Harry Toffolo,507,engENG,DF,Nott'ham Forest,29-248,1995,1.5,47,67,70.1,653,304,30,32,93.8,15,24,62.5,1,7,14.3,0,0.0,0.0,0.0,0,1,0,0,2,Matches
Harry Wilson,553,wlsWAL,"FW,MF",Fulham,28-033,1997,9.5,252,340,74.1,4209,1122,130,152,85.5,97,121,80.2,21,52,40.4,1,1.0,0.9,0.0,17,21,11,0,43,Matches
Harry Winks,554,engENG,MF,Leicester City,29-081,1996,17.1,910,1045,87.1,14101,5048,471,511,92.2,362,397,91.2,44,76,57.9,2,1.2,1.5,+0.8,17,110,7,5,101,Matches
Harvey Barnes,46,engENG,FW,Newcastle Utd,27-136,1997,14.9,363,460,78.9,5088,1517,233,269,86.6,114,152,75.0,11,17,64.7,4,3.4,3.9,+0.6,19,19,33,8,63,Matches
Harvey Elliott,160,engENG,"MF,FW",Liverpool,22-020,2003,2.0,142,177,80.2,2483,609,77,84,91.7,47,61,77.0,14,21,66.7,1,0.9,0.4,+0.1,5,13,4,0,24,Matches
Hwang Hee-chan,230,krKOR,"MF,FW",Wolves,29-088,1996,7.2,159,195,81.5,2061,395,107,123,87.0,40,47,85.1,4,5,80.0,0,0.1,0.3,-0.1,3,7,4,2,12,Matches
Hákon Rafn Valdimarsson,417,isISL,GK,Brentford,23-193,2001,1.6,46,70,65.7,1445,1110,8,8,100.0,21,21,100.0,17,41,41.5,0,0.0,0.0,0.0,0,2,0,0,0,Matches
Ian Maatsen,311,nlNED,DF,Aston Villa,23-045,2002,9.9,507,620,81.8,8095,2117,254,287,88.5,220,256,85.9,23,43,53.5,2,2.7,2.3,-0.7,18,20,15,3,39,Matches
Ibrahim Sangaré,447,ciCIV,MF,Nott'ham Forest,27-143,1997,3.1,117,149,78.5,1700,531,71,80,88.8,38,47,80.9,6,11,54.5,1,0.4,0.1,+0.6,3,9,2,0,12,Matches
Ibrahima Konaté,284,frFRA,DF,Liverpool,25-334,1999,24.8,1513,1672,90.5,28014,9647,522,557,93.7,897,943,95.1,85,149,57.0,2,1.0,0.9,+1.0,10,122,8,0,102,Matches
Idrissa Gana Gueye,191,snSEN,MF,Everton,35-210,1989,29.1,1030,1190,86.6,17456,4522,507,561,90.4,419,463,90.5,88,118,74.6,3,1.7,1.9,+1.3,19,126,10,3,122,Matches
Igor,244,brBRA,DF,Brighton,27-076,1998,10.0,628,682,92.1,11358,3723,248,257,96.5,337,354,95.2,40,56,71.4,0,0.2,0.3,-0.2,1,35,2,1,44,Matches
Iliman Ndiaye,368,snSEN,FW,Everton,25-049,2000,23.5,506,629,80.4,7654,1585,295,344,85.8,166,194,85.6,34,49,69.4,0,1.6,1.2,-1.6,17,34,14,5,44,Matches
Illia Zabarnyi,564,uaUKR,DF,Bournemouth,22-235,2002,29.6,1199,1469,81.6,25439,9497,321,354,90.7,703,774,90.8,167,314,53.2,0,0.6,0.5,-0.6,11,129,6,0,123,Matches
Ismaila Sarr,450,snSEN,"MF,FW",Crystal Palace,27-058,1998,26.6,438,658,66.6,6582,1956,237,317,74.8,165,233,70.8,21,44,47.7,4,7.0,5.6,-3.0,37,26,36,8,76,Matches
