Player,Rk,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp_2,Att_2,Cmp%_2,Cmp_3,Att_3,Cmp%_3,Cmp_4,Att_4,Cmp%_4,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Joe Gomez,204,engENG,DF,Liverpool,27-336,1997,5.8,377,425,88.7,6689,2299,155,170,91.2,191,204,93.6,26,42,61.9,0,0.1,0.1,-0.1,2,29,0,0,35,Matches
Joe Lumley,309,engENG,GK,Southampton,30-068,1995,3.0,106,151,70.2,2342,1476,42,44,95.5,42,46,91.3,21,59,35.6,0,0.0,0.0,0.0,0,2,0,0,0,Matches
Joe Willock,551,engENG,"MF,FW",Newcastle Utd,25-247,1999,9.9,237,290,81.7,3385,743,143,162,88.3,84,97,86.6,7,17,41.2,2,1.6,0.8,+0.4,18,21,8,0,34,Matches
Joel Ward,538,engENG,DF,Crystal Palace,35-177,1989,0.0,0,2,0.0,0,0,0,1,0.0,0,1,0.0,0,0,N/a,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Joelinton,260,brBRA,"MF,FW",Newcastle Utd,28-253,1996,26.6,863,1043,82.7,12199,3384,529,603,87.7,277,320,86.6,33,55,60.0,3,2.5,2.3,+0.5,23,80,17,2,116,Matches
John McGinn,337,sctSCO,"MF,FW",Aston Villa,30-188,1994,22.1,635,767,82.8,10675,2779,304,332,91.6,263,304,86.5,55,92,59.8,3,3.4,2.4,-0.4,27,60,27,7,90,Matches
John Stones,487,engENG,"DF,MF",Manchester City,30-331,1994,6.1,367,403,91.1,6382,1601,169,179,94.4,161,174,92.5,31,40,77.5,0,0.1,0.2,-0.1,2,42,0,0,21,Matches
Jonny Evans,170,nirNIR,DF,Manchester Utd,37-111,1988,3.2,174,196,88.8,2809,784,82,87,94.3,81,90,90.0,6,12,50.0,0,0.0,0.0,0.0,0,9,1,0,8,Matches
Jordan Ayew,40,ghGHA,"FW,MF",Crystal Palace,33-225,1991,0.2,8,10,80.0,167,4,3,3,100.0,4,6,66.7,1,1,100.0,0,0.0,0.0,0.0,1,0,0,0,0,Matches
Jordan Pickford,410,engENG,GK,Everton,31-048,1994,33.0,899,1370,65.6,28986,21888,131,132,99.2,376,382,98.4,391,846,46.2,1,0.4,0.2,+0.6,2,66,8,0,0,Matches
Jorge Cuenca,114,esESP,DF,Fulham,25-158,1999,2.9,102,122,83.6,1768,637,34,38,89.5,60,68,88.2,6,14,42.9,0,0.0,0.0,0.0,0,7,0,0,9,Matches
Jorginho,265,itITA,MF,Arsenal,33-125,1991,7.8,410,473,86.7,6450,1591,215,235,91.5,167,189,88.4,21,36,58.3,0,0.4,0.6,-0.4,3,44,10,0,48,Matches
Joshua Acheampong,2,engENG,DF,Chelsea,18-354,2006,1.9,104,124,83.9,2025,705,29,32,90.6,63,68,92.6,11,20,55.0,0,0.0,0.0,0.0,0,6,0,0,8,Matches
Joshua King,280,engENG,"MF,FW",Fulham,18-111,2007,0.9,32,37,86.5,477,92,18,20,90.0,13,15,86.7,0,1,0.0,0,0.4,0.7,-0.4,3,2,1,0,4,Matches
Joshua Zirkzee,566,nlNED,"FW,MF",Manchester Utd,23-337,2001,15.6,292,410,71.2,3600,901,196,251,78.1,61,82,74.4,9,18,50.0,1,1.5,1.1,-0.5,12,26,6,0,44,Matches
José Sá,441,ptPOR,GK,Wolves,32-097,1993,25.0,482,773,62.4,12711,8829,98,99,99.0,264,272,97.1,119,397,30.0,0,0.1,0.0,-0.1,2,17,1,0,2,Matches
Jota Silva,466,ptPOR,"FW,MF",Nott'ham Forest,25-266,1999,9.2,113,185,61.1,1602,445,64,83,77.1,34,57,59.6,6,14,42.9,1,2.9,1.8,-1.9,14,4,9,3,16,Matches
João Félix,175,ptPOR,"FW,MF",Chelsea,25-165,1999,4.1,171,199,85.9,2588,663,95,105,90.5,62,68,91.2,10,15,66.7,1,1.0,0.5,0.0,6,22,8,0,26,Matches
João Gomes,200,brBRA,MF,Wolves,24-071,2001,28.9,1180,1386,85.1,16906,4306,693,762,90.9,359,418,85.9,61,101,60.4,1,1.1,1.8,-0.1,20,105,21,1,142,Matches
João Pedro,259,brBRA,"FW,MF",Brighton,23-210,2001,21.6,482,661,72.9,6847,1766,300,381,78.7,133,177,75.1,29,44,65.9,6,5.0,3.1,+1.0,30,42,36,5,78,Matches
Joël Veltman,527,nlNED,DF,Brighton,33-099,1992,18.3,716,895,80.0,12082,3157,354,394,89.8,291,361,80.6,62,98,63.3,0,0.5,1.3,-0.5,6,61,8,5,79,Matches
Joško Gvardiol,220,hrCRO,DF,Manchester City,23-091,2002,32.4,2240,2464,90.9,36418,9874,1082,1147,94.3,1042,1119,93.1,95,140,67.9,0,2.0,2.8,-2.0,25,225,19,1,240,Matches
Julian Araujo,29,mxMEX,DF,Bournemouth,23-254,2001,4.0,143,181,79.0,2451,767,68,76,89.5,65,77,84.4,9,22,40.9,0,0.0,0.0,0.0,0,15,1,0,14,Matches
Julio Enciso,162,pyPAR,"MF,FW",Ipswich Town,21-091,2004,6.1,126,177,71.2,1993,642,62,81,76.5,49,65,75.4,7,12,58.3,3,1.2,1.0,+1.8,9,12,6,0,22,Matches
Julio Soler,476,arARG,FW,Bournemouth,20-067,2005,0.0,0,1,0.0,0,0,0,0,N/a,0,1,0.0,0,0,N/a,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Jurriën Timber,505,nlNED,DF,Arsenal,23-311,2001,26.9,1194,1395,85.6,17327,4642,674,741,91.0,472,549,86.0,27,51,52.9,3,0.8,1.3,+2.2,17,107,17,2,146,Matches
Justin Devenny,128,nirNIR,MF,Crystal Palace,21-195,2003,4.8,120,170,70.6,1883,518,66,82,80.5,40,58,69.0,8,21,38.1,0,0.4,0.4,-0.4,6,15,4,1,16,Matches
Justin Kluivert,283,nlNED,"MF,FW",Bournemouth,25-354,1999,22.5,495,671,73.8,7749,2173,270,325,83.1,165,217,76.0,43,78,55.1,6,4.8,3.4,+1.2,44,40,31,6,94,Matches
Jáder Durán,152,coCOL,FW,Aston Villa,21-132,2003,7.1,115,163,70.6,1558,307,68,84,81.0,34,50,68.0,5,11,45.5,0,0.2,0.3,-0.2,4,10,1,0,13,Matches
Jørgen Strand Larsen,488,noNOR,FW,Wolves,25-077,2000,26.5,262,414,63.3,3398,632,162,228,71.1,65,104,62.5,12,16,75.0,2,2.4,1.0,-0.4,19,17,4,1,26,Matches
Kaelan Casey,87,engENG,DF,West Ham,20-178,2004,0.0,0,0,N/a,0,0,0,0,N/a,0,0,N/a,0,0,N/a,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Kai Havertz,227,deGER,"FW,MF",Arsenal,25-317,1999,20.4,401,511,78.5,4833,1010,281,334,84.1,94,114,82.5,5,11,45.5,3,2.4,1.7,+0.6,16,26,8,1,59,Matches
Kalvin Phillips,407,engENG,MF,Ipswich Town,29-143,1995,13.5,426,537,79.3,8392,2418,160,193,82.9,201,232,86.6,59,95,62.1,0,0.2,0.5,-0.2,5,48,6,1,49,Matches
Kamaldeen Sulemana,490,ghGHA,"FW,MF",Southampton,23-068,2002,11.6,224,284,78.9,3297,501,139,156,89.1,69,83,83.1,11,26,42.3,1,0.7,0.7,+0.3,9,6,10,6,24,Matches
Kaoru Mitoma,350,jpJPN,"FW,MF",Brighton,27-339,1997,27.7,694,918,75.6,9028,2059,466,536,86.9,174,246,70.7,22,49,44.9,3,4.4,3.7,-1.4,35,33,32,8,81,Matches
Kasey McAteer,335,ieIRL,"FW,MF",Leicester City,23-153,2001,5.4,115,165,69.7,1587,400,77,91,84.6,32,46,69.6,4,8,50.0,1,0.5,0.3,+0.5,6,6,5,2,9,Matches
Keane Lewis-Potter,300,engENG,"DF,FW",Brentford,24-061,2001,30.2,858,1112,77.2,14139,4201,462,517,89.4,294,372,79.0,76,153,49.7,3,3.0,4.6,0.0,22,56,40,14,88,Matches
Kenny Tete,500,nlNED,DF,Fulham,29-197,1995,15.0,592,728,81.3,9544,3187,311,340,91.5,212,266,79.7,50,78,64.1,2,0.7,0.5,+1.3,5,53,6,4,42,Matches
Kepa Arrizabalaga,35,esESP,GK,Bournemouth,30-203,1994,26.0,618,861,71.8,17014,11673,96,98,98.0,318,324,98.1,203,432,47.0,0,0.0,0.0,0.0,1,8,0,0,2,Matches
Kevin Danso,121,atAUT,DF,Tottenham,26-217,1998,4.4,307,339,90.6,5519,1728,103,111,92.8,185,194,95.4,16,30,53.3,0,0.0,0.1,0.0,1,20,2,1,16,Matches
Kevin De Bruyne,125,beBEL,"MF,FW",Manchester City,33-300,1991,16.2,756,1000,75.6,12912,3720,382,449,85.1,289,377,76.7,75,129,58.1,7,7.6,5.7,-0.6,51,75,48,10,128,Matches
Kevin Schade,454,deGER,FW,Brentford,23-148,2001,21.5,279,475,58.7,4339,1249,155,224,69.2,98,163,60.1,17,41,41.5,2,3.3,1.6,-1.3,19,29,9,3,32,Matches
Kieran Tierney,504,sctSCO,"DF,FW",Arsenal,27-323,1997,2.0,96,117,82.1,1508,461,52,55,94.5,36,46,78.3,6,11,54.5,0,0.9,0.5,-0.9,7,7,5,2,12,Matches
Kieran Trippier,516,engENG,DF,Newcastle Utd,34-217,1990,12.2,813,1000,81.3,13991,4978,389,414,94.0,344,404,85.1,66,144,45.8,1,0.7,0.8,+0.3,16,53,10,1,78,Matches
Kiernan Dewsbury-Hall,129,engENG,"MF,FW",Chelsea,26-230,1998,2.9,127,151,84.1,1898,319,75,82,91.5,47,56,83.9,5,9,55.6,1,1.1,0.2,-0.1,3,12,3,0,14,Matches
Kim Jisoo,258,krKOR,DF,Brentford,20-121,2004,0.3,25,28,89.3,552,202,8,9,88.9,11,12,91.7,6,7,85.7,0,0.0,0.0,0.0,0,1,0,0,2,Matches
Kobbie Mainoo,318,engENG,MF,Manchester Utd,20-005,2005,15.0,608,705,86.2,8062,2051,390,424,92.0,153,173,88.4,26,37,70.3,0,1.5,1.3,-1.5,13,45,9,0,55,Matches
Konstantinos Mavropanos,331,grGRE,DF,West Ham,27-134,1997,20.6,960,1121,85.6,18880,6485,308,338,91.1,557,605,92.1,89,155,57.4,0,0.5,0.4,-0.5,4,58,4,1,58,Matches
Kosta Nedeljković,370,rsSRB,DF,Aston Villa,19-129,2005,1.4,47,53,88.7,853,185,22,23,95.7,21,25,84.0,4,5,80.0,0,0.0,0.0,0.0,0,5,0,0,6,Matches
Kostas Tsimikas,518,grGRE,DF,Liverpool,28-347,1996,7.4,447,534,83.7,7676,2524,214,227,94.3,182,206,88.3,42,82,51.2,1,1.8,2.0,-0.8,11,39,9,3,67,Matches
Kristoffer Ajer,10,noNOR,DF,Brentford,27-007,1998,15.4,482,616,78.2,7521,2707,250,288,86.8,189,237,79.7,26,53,49.1,0,1.2,0.5,-1.2,8,41,7,4,52,Matches
Kyle Walker,533,engENG,DF,Manchester City,34-331,1990,10.8,724,826,87.7,11928,3918,367,388,94.6,305,334,91.3,42,82,51.2,0,0.4,1.3,-0.4,7,63,7,4,64,Matches
Kyle Walker-Peters,534,engENG,DF,Southampton,28-011,1997,30.4,1420,1612,88.1,21389,6242,785,838,93.7,552,615,89.8,53,86,61.6,2,2.7,2.3,-0.7,23,113,29,4,132,Matches
Lamare Bogarde,61,nlNED,"DF,MF",Aston Villa,21-109,2004,5.3,240,272,88.2,3682,1154,129,139,92.8,107,116,92.2,3,9,33.3,0,0.1,0.1,-0.1,2,24,1,0,14,Matches
Leandro Trossard,517,beBEL,FW,Arsenal,30-141,1994,25.2,616,837,73.6,10098,2709,324,382,84.8,238,313,76.0,42,82,51.2,5,5.1,3.5,-0.1,36,40,41,9,91,Matches
Leif Davis,123,engENG,DF,Ipswich Town,25-102,2000,28.5,854,1194,71.5,14708,5905,398,463,86.0,367,474,77.4,75,201,37.3,2,4.3,4.2,-2.3,54,30,26,11,55,Matches
Leny Yoro,562,frFRA,DF,Manchester Utd,19-162,2005,10.9,605,655,92.4,9807,3264,272,286,95.1,293,310,94.5,26,40,65.0,0,0.0,0.1,0.0,0,42,2,1,43,Matches
Leon Bailey,43,jmJAM,"FW,MF",Aston Villa,27-258,1997,12.6,273,386,70.7,4275,1048,149,183,81.4,99,122,81.1,18,38,47.4,2,1.5,2.9,+0.5,16,16,20,2,35,Matches
Lesley Ugochukwu,522,frFRA,MF,Southampton,21-029,2004,15.1,509,601,84.7,7863,1734,246,281,87.5,226,246,91.9,18,32,56.3,1,1.0,0.6,0.0,13,50,6,1,47,Matches
Levi Colwill,107,engENG,DF,Chelsea,22-057,2003,30.0,2105,2349,89.6,38297,13387,729,784,93.0,1232,1295,95.1,123,216,56.9,1,1.1,1.2,-0.1,14,141,7,3,122,Matches
Lewis Cook,108,engENG,"MF,DF",Bournemouth,28-080,1997,30.1,1128,1473,76.6,19646,6765,494,583,84.7,507,598,84.8,103,227,45.4,3,4.1,3.7,-1.1,47,149,25,10,152,Matches
Lewis Dunk,151,engENG,DF,Brighton,33-154,1991,21.1,1661,1830,90.8,30964,9988,615,638,96.4,894,942,94.9,139,222,62.6,0,0.5,1.0,-0.5,6,152,6,0,137,Matches
Lewis Hall,222,engENG,DF,Newcastle Utd,20-228,2004,24.3,1300,1592,81.7,21999,8891,653,715,91.3,525,617,85.1,104,202,51.5,4,4.3,3.7,-0.3,34,114,17,5,123,Matches
Lewis Miley,345,engENG,MF,Newcastle Utd,18-358,2006,2.5,121,139,87.1,1768,296,66,76,86.8,43,45,95.6,6,7,85.7,0,0.0,0.1,0.0,1,8,4,0,13,Matches
Lewis Orford,394,engENG,MF,West Ham,19-065,2006,0.5,33,38,86.8,583,83,11,13,84.6,18,20,90.0,2,3,66.7,0,0.0,0.0,0.0,2,2,1,1,0,Matches
Liam Delap,126,engENG,FW,Ipswich Town,22-075,2003,26.2,202,330,61.2,2815,638,113,161,70.2,64,101,63.4,9,22,40.9,2,1.9,1.4,+0.1,20,16,6,0,30,Matches
Lisandro Martínez,327,arARG,DF,Manchester Utd,27-096,1998,19.5,1200,1342,89.4,20292,7055,522,554,94.2,601,646,93.0,64,116,55.2,1,1.1,1.3,-0.1,9,91,18,2,117,Matches
Lloyd Kelly,275,engENG,DF,Newcastle Utd,26-200,1998,3.4,146,181,80.7,2636,867,57,65,87.7,78,87,89.7,10,24,41.7,1,0.5,0.1,+0.5,2,6,1,1,9,Matches
Lucas Bergvall,55,seSWE,MF,Tottenham,19-081,2006,12.5,608,689,88.2,10149,2075,290,313,92.7,252,279,90.3,50,66,75.8,1,0.6,0.8,+0.4,11,50,7,3,49,Matches
Lucas Digne,134,frFRA,DF,Aston Villa,31-278,1993,24.9,924,1232,75.0,14998,4806,470,533,88.2,375,477,78.6,58,146,39.7,4,4.4,3.9,-0.4,35,43,29,18,54,Matches
Lucas Paquetá,402,brBRA,"MF,FW",West Ham,27-240,1997,24.1,990,1285,77.0,16300,5188,522,624,83.7,342,434,78.8,102,163,62.6,0,3.0,3.2,-3.0,34,114,39,4,129,Matches
Luis Díaz,132,coCOL,FW,Liverpool,28-101,1997,23.9,683,809,84.4,10916,2361,366,411,89.1,235,273,86.1,55,67,82.1,5,4.9,4.3,+0.1,53,43,43,6,102,Matches
Luis Guilherme,215,brBRA,"MF,FW",West Ham,19-074,2006,1.5,47,56,83.9,727,154,30,31,96.8,13,15,86.7,4,7,57.1,0,0.1,0.1,-0.1,3,3,3,2,3,Matches
Luis Sinisterra,469,coCOL,"FW,MF",Bournemouth,25-311,1999,2.6,73,93,78.5,1067,200,44,48,91.7,22,32,68.8,5,5,100.0,1,1.4,1.3,-0.4,9,6,2,2,6,Matches
Luke Shaw,463,engENG,DF,Manchester Utd,29-286,1995,0.9,102,116,87.9,1725,624,55,59,93.2,39,43,90.7,8,12,66.7,0,0.3,0.2,-0.3,2,6,1,1,7,Matches
Luke Thomas,502,engENG,DF,Leicester City,23-318,2001,7.7,328,417,78.7,5226,1718,170,186,91.4,132,161,82.0,21,53,39.6,0,0.1,0.2,-0.1,4,22,2,1,23,Matches
Luke Woolfenden,559,engENG,DF,Ipswich Town,26-185,1998,11.2,437,497,87.9,8028,2692,162,168,96.4,237,253,93.7,34,65,52.3,0,0.0,0.0,0.0,0,27,0,0,15,Matches
Mads Hermansen,233,dkDEN,GK,Leicester City,24-287,2000,25.5,626,1033,60.6,16429,11953,144,147,98.0,296,312,94.9,186,569,32.7,0,0.0,0.0,0.0,0,20,1,0,1,Matches
Mads Roerslev,437,dkDEN,DF,Brentford,25-304,1999,12.2,422,536,78.7,6925,2249,205,233,88.0,179,224,79.9,27,49,55.1,2,3.0,2.1,-1.0,14,37,11,4,51,Matches
Malo Gusto,219,frFRA,DF,Chelsea,21-340,2003,20.2,1168,1352,86.4,19089,4800,571,613,93.1,502,569,88.2,68,111,61.3,1,1.2,1.8,-0.2,20,107,18,6,118,Matches
Manuel Akanji,11,chSUI,DF,Manchester City,29-279,1995,19.0,1395,1486,93.9,22867,6253,671,700,95.9,642,672,95.5,68,92,73.9,0,0.4,1.1,-0.4,9,150,11,2,135,Matches
Manuel Ugarte Ribeiro,521,uyURU,MF,Manchester Utd,24-013,2001,17.7,683,784,87.1,11224,2384,345,388,88.9,264,284,93.0,56,76,73.7,0,0.6,0.6,-0.6,7,47,9,3,53,Matches
Marc Cucurella,113,esESP,DF,Chelsea,26-276,1998,28.2,1454,1658,87.7,22733,6305,736,784,93.9,633,706,89.7,56,102,54.9,1,1.8,2.2,-0.8,17,103,12,3,97,Matches
Marc Guiu,217,esESP,FW,Chelsea,19-110,2006,0.8,11,16,68.8,110,4,9,13,69.2,1,2,50.0,0,0,N/a,0,0.0,0.0,0.0,1,0,0,0,0,Matches
Marc Guéhi,214,engENG,DF,Crystal Palace,24-285,2000,32.0,1377,1654,83.3,26335,10841,510,560,91.1,710,800,88.8,145,262,55.3,2,1.2,1.3,+0.8,12,127,11,3,126,Matches
Marco Asensio,36,esESP,"MF,FW",Aston Villa,29-093,1996,5.3,171,213,80.3,2407,709,100,111,90.1,58,69,84.1,5,17,29.4,1,0.8,0.8,+0.2,12,14,8,2,31,Matches
Marcos Senesi,461,arARG,DF,Bournemouth,27-349,1997,11.2,493,643,76.7,10211,5319,176,200,88.0,232,270,85.9,80,160,50.0,0,0.2,0.5,-0.2,3,73,12,3,51,Matches
Marcus Harness,224,engENG,MF,Ipswich Town,29-059,1996,0.5,10,16,62.5,89,23,9,11,81.8,0,1,0.0,0,1,0.0,0,0.0,0.1,0.0,0,0,2,0,2,Matches
Marcus Rashford,420,engENG,"FW,MF",Manchester Utd,27-175,1997,10.9,253,343,73.8,3508,868,168,201,83.6,56,85,65.9,14,28,50.0,1,2.1,1.4,-1.1,15,13,16,8,21,Matches
Marcus Tavernier,496,engENG,"FW,MF",Bournemouth,26-033,1999,17.3,525,723,72.6,8934,2689,253,293,86.3,219,280,78.2,44,101,43.6,5,2.8,2.5,+2.2,36,61,29,9,99,Matches
Mario Lemina,296,gaGAB,"MF,DF",Wolves,31-235,1993,15.2,493,613,80.4,9479,2966,176,207,85.0,249,284,87.7,58,95,61.1,3,1.1,1.2,+1.9,10,43,13,4,48,Matches
Mark Flekken,181,nlNED,GK,Brentford,31-315,1993,31.4,1113,1518,73.3,32882,22467,136,139,97.8,596,612,97.4,381,760,50.1,1,0.2,0.1,+0.8,2,44,2,0,0,Matches
Mark Travers,514,ieIRL,GK,Bournemouth,25-341,1999,5.0,100,142,70.4,3469,2692,6,6,100.0,51,53,96.2,43,83,51.8,0,0.0,0.0,0.0,0,3,0,0,0,Matches
Marshall Munetsi,361,zwZIM,"MF,FW",Wolves,28-306,1996,7.8,99,139,71.2,1161,245,63,80,78.8,27,38,71.1,0,1,0.0,1,0.9,0.1,+0.1,4,3,1,0,7,Matches
Martial Godo,199,engENG,FW,Fulham,22-041,2003,0.2,3,5,60.0,41,2,2,3,66.7,1,1,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Martin Dúbravka,150,skSVK,GK,Newcastle Utd,36-099,1989,10.0,265,333,79.6,5932,3082,58,58,100.0,161,161,100.0,45,112,40.2,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Martin Ødegaard,567,noNOR,MF,Arsenal,26-128,1998,22.7,1099,1331,82.6,17070,4925,606,671,90.3,399,458,87.1,70,132,53.0,6,4.6,6.3,+1.4,56,115,78,5,231,Matches
Mason Holgate,238,engENG,"FW,DF",Everton,28-184,1996,0.1,2,2,100.0,55,0,0,0,N/a,1,1,100.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Mason Mount,358,engENG,"MF,FW",Manchester Utd,26-104,1999,3.9,107,133,80.5,1542,349,58,67,86.6,33,40,82.5,6,10,60.0,0,0.2,0.2,-0.2,5,8,2,1,15,Matches
Massimo Luongo,310,auAUS,MF,Ipswich Town,32-211,1992,2.1,39,53,73.6,551,135,24,27,88.9,11,16,68.8,2,6,33.3,0,0.0,0.0,0.0,0,1,0,0,5,Matches
Mateo Kovačić,286,hrCRO,MF,Manchester City,30-353,1994,21.8,1523,1646,92.5,23541,6173,817,860,95.0,632,661,95.6,55,88,62.5,1,3.5,3.0,-2.5,28,178,27,0,142,Matches
Mateus Fernandes,179,ptPOR,MF,Southampton,20-288,2004,27.8,949,1196,79.3,16118,3817,449,513,87.5,361,423,85.3,94,173,54.3,3,2.6,2.9,+0.4,30,86,21,4,127,Matches
Matheus Cunha,115,brBRA,"MF,FW",Wolves,25-332,1999,25.0,682,961,71.0,10862,3746,387,457,84.7,193,256,75.4,72,164,43.9,4,6.8,4.7,-2.8,46,81,50,9,119,Matches
Matheus França,186,brBRA,"FW,MF",Crystal Palace,21-023,2004,0.3,4,8,50.0,69,35,2,3,66.7,2,4,50.0,0,0,N/a,0,0.0,0.2,0.0,0,1,0,0,2,Matches
Matheus Nunes,378,ptPOR,"DF,MF",Manchester City,26-240,1998,15.6,885,1023,86.5,13810,2479,489,535,91.4,338,381,88.7,47,71,66.2,5,4.2,3.0,+0.8,21,43,25,7,66,Matches
Mathias Jensen,255,dkDEN,MF,Brentford,29-113,1996,8.6,327,436,75.0,6098,2221,148,170,87.1,124,157,79.0,44,79,55.7,2,1.6,1.3,+0.4,15,39,17,2,55,Matches
Mathis Amougou,22,frFRA,MF,Chelsea,19-096,2006,0.1,7,7,100.0,69,30,6,6,100.0,1,1,100.0,0,0,N/a,0,0.0,0.0,0.0,0,2,0,0,1,Matches
Mathys Tel,499,frFRA,FW,Tottenham,19-362,2005,5.5,124,165,75.2,2261,408,57,66,86.4,51,69,73.9,16,23,69.6,0,0.9,0.8,-0.9,9,9,9,4,12,Matches
Mats Wieffer,548,nlNED,"MF,DF",Brighton,25-159,1999,6.7,387,447,86.6,6337,1719,187,206,90.8,163,184,88.6,27,34,79.4,2,1.3,0.7,+0.7,11,40,3,1,40,Matches
Matt Doherty,140,ieIRL,DF,Wolves,33-098,1992,20.2,900,1100,81.8,16696,5540,365,407,89.7,427,496,86.1,96,158,60.8,1,1.5,1.2,-0.5,11,85,13,1,73,Matches
Matt O'Riley,383,dkDEN,MF,Brighton,24-154,2000,7.5,247,311,79.4,3833,975,129,141,91.5,83,103,80.6,22,45,48.9,1,1.3,1.3,-0.3,13,22,6,0,29,Matches
Matt Targett,494,engENG,DF,Newcastle Utd,29-218,1995,0.2,14,15,93.3,187,49,9,10,90.0,4,4,100.0,1,1,100.0,0,0.0,0.1,0.0,0,0,1,1,0,Matches
Matthijs de Ligt,302,nlNED,DF,Manchester Utd,25-255,1999,23.2,1225,1360,90.1,21549,5917,449,477,94.1,717,759,94.5,53,105,50.5,0,0.3,0.3,-0.3,6,63,2,1,55,Matches
Matty Cash,88,plPOL,DF,Aston Villa,27-260,1997,19.0,607,772,78.6,10099,2861,295,329,89.7,260,326,79.8,40,81,49.4,1,1.1,1.2,-0.1,10,36,8,4,38,Matches
Matz Sels,458,beBEL,GK,Nott'ham Forest,33-057,1992,33.0,441,880,50.1,16937,14650,69,69,100.0,128,131,97.7,244,668,36.5,0,0.0,0.1,0.0,1,38,2,0,1,Matches
Max Aarons,1,engENG,DF,Bournemouth,25-110,2000,1.0,50,63,79.4,887,361,21,25,84.0,24,29,82.8,4,7,57.1,0,0.0,0.0,0.0,0,8,0,0,8,Matches
Max Kilman,279,engENG,DF,West Ham,27-336,1997,32.2,1442,1660,86.9,27949,9577,460,498,92.4,843,911,92.5,132,227,58.1,1,1.1,1.1,-0.1,15,96,3,0,103,Matches
Maxence Lacroix,291,frFRA,DF,Crystal Palace,25-018,2000,30.6,1093,1335,81.9,22521,8899,290,340,85.3,672,739,90.9,125,226,55.3,1,0.8,0.9,+0.2,6,66,2,1,59,Matches
Maxwel Cornet,109,ciCIV,FW,Southampton,28-209,1996,0.8,17,22,77.3,262,37,9,10,90.0,6,8,75.0,1,2,50.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Michael Kayode,272,itITA,DF,Brentford,20-288,2004,1.4,41,61,67.2,755,254,15,20,75.0,23,33,69.7,3,6,50.0,0,0.2,0.1,-0.2,2,3,1,1,2,Matches
Michael Keane,273,engENG,DF,Everton,32-103,1993,9.5,258,316,81.6,5895,1868,77,87,88.5,121,134,90.3,58,77,75.3,0,0.1,0.0,-0.1,2,17,0,0,12,Matches
Michail Antonio,27,jmJAM,FW,West Ham,35-027,1990,9.3,114,188,60.6,2183,424,52,72,72.2,37,62,59.7,22,31,71.0,1,1.6,0.9,-0.6,9,11,6,2,18,Matches
Micky van de Ven,528,nlNED,DF,Tottenham,24-005,2001,10.6,706,776,91.0,13313,4092,210,229,91.7,444,460,96.5,45,72,62.5,2,1.2,0.7,+0.8,2,50,1,0,51,Matches
Miguel Almirón,17,pyPAR,FW,Newcastle Utd,31-073,1994,1.7,54,66,81.8,707,219,39,42,92.9,13,16,81.3,1,3,33.3,0,0.3,0.2,-0.3,3,3,1,0,6,Matches
Mikel Merino,342,esESP,"MF,FW",Arsenal,28-306,1996,15.6,412,529,77.9,5686,1613,260,299,87.0,119,152,78.3,16,30,53.3,2,1.9,1.2,+0.1,15,33,24,4,61,Matches
Mikey Moore,353,engENG,"FW,MF",Tottenham,17-256,2007,2.1,48,67,71.6,593,166,30,31,96.8,13,20,65.0,1,5,20.0,1,0.3,0.5,+0.7,3,1,5,1,7,Matches
Mikkel Damsgaard,118,dkDEN,"MF,FW",Brentford,24-295,2000,27.7,954,1310,72.8,16253,6345,480,562,85.4,332,452,73.5,113,214,52.8,10,7.3,5.9,+2.7,55,144,62,15,204,Matches
Milos Kerkez,276,huHUN,DF,Bournemouth,21-168,2003,32.2,1141,1513,75.4,17883,5978,625,700,89.3,418,535,78.1,71,193,36.8,5,3.3,2.1,+1.7,30,79,34,22,141,Matches
Mohamed Salah,443,egEGY,FW,Liverpool,32-313,1992,32.5,785,1101,71.3,11755,3340,444,530,83.8,261,375,69.6,53,86,61.6,18,12.1,7.5,+5.9,75,49,80,13,127,Matches
Mohammed Kudus,289,ghGHA,"FW,MF",West Ham,24-265,2000,24.9,620,742,83.6,10034,1566,334,371,90.0,225,251,89.6,47,70,67.1,2,2.3,2.4,-0.3,27,40,25,12,71,Matches
Moisés Caicedo,79,ecECU,MF,Chelsea,23-173,2001,32.2,1736,1931,89.9,30164,8011,767,831,92.3,789,851,92.7,148,189,78.3,2,2.9,2.6,-0.9,28,210,31,2,188,Matches
Morato,354,brBRA,DF,Nott'ham Forest,23-298,2001,8.9,181,244,74.2,3048,1521,77,92,83.7,86,103,83.5,10,28,35.7,0,0.0,0.0,0.0,0,11,0,0,14,Matches
Morgan Gibbs-White,196,engENG,MF,Nott'ham Forest,25-087,2000,26.4,834,1063,78.5,12823,3949,462,544,84.9,273,333,82.0,60,102,58.8,7,4.4,4.3,+2.6,44,110,35,7,139,Matches
