Player,Rk,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive_2,PassDead_2,TO_2,Sh_2,Fld_2,Def_2,Matches
João Pedro,259,brBRA,"FW,MF",Brighton,23-210,2001,21.6,72,3.32,56,0,3,2,10,1,9,0.42,6,0,0,0,3,0,Matches
Joël Veltman,527,nlNED,DF,Brighton,33-099,1992,18.3,22,1.21,15,2,2,1,2,0,1,0.05,0,1,0,0,0,0,Matches
Joško Gvardiol,220,hrCRO,DF,Manchester City,23-091,2002,32.4,69,2.13,64,1,2,2,0,0,7,0.22,6,0,1,0,0,0,Matches
Julian Araujo,29,mxMEX,DF,Bournemouth,23-254,2001,4.0,4,0.99,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Julio Enciso,162,pyPAR,"MF,FW",Ipswich Town,21-091,2004,6.1,21,3.44,12,3,3,2,0,1,3,0.49,2,1,0,0,0,0,Matches
Julio Soler,476,arARG,FW,Bournemouth,20-067,2005,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Jurriën Timber,505,nlNED,DF,Arsenal,23-311,2001,26.9,52,1.94,46,1,3,0,1,1,9,0.34,8,0,1,0,0,0,Matches
Justin Devenny,128,nirNIR,MF,Crystal Palace,21-195,2003,4.8,11,2.30,8,2,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Justin Kluivert,283,nlNED,"MF,FW",Bournemouth,25-354,1999,22.5,92,4.08,68,8,6,5,4,1,11,0.49,10,0,0,0,1,0,Matches
Jáder Durán,152,coCOL,FW,Aston Villa,21-132,2003,7.1,18,2.54,9,0,0,4,3,2,1,0.14,0,0,0,0,0,1,Matches
Jørgen Strand Larsen,488,noNOR,FW,Wolves,25-077,2000,26.5,38,1.43,29,1,1,3,2,2,4,0.15,4,0,0,0,0,0,Matches
Kaelan Casey,87,engENG,DF,West Ham,20-178,2004,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Kai Havertz,227,deGER,"FW,MF",Arsenal,25-317,1999,20.4,41,2.01,34,0,1,6,0,0,3,0.15,2,0,0,1,0,0,Matches
Kalvin Phillips,407,engENG,MF,Ipswich Town,29-143,1995,13.5,17,1.26,13,3,0,1,0,0,3,0.22,3,0,0,0,0,0,Matches
Kamaldeen Sulemana,490,ghGHA,"FW,MF",Southampton,23-068,2002,11.6,26,2.24,14,1,8,2,1,0,3,0.26,1,0,1,1,0,0,Matches
Kaoru Mitoma,350,jpJPN,"FW,MF",Brighton,27-339,1997,27.7,83,3.00,69,0,6,3,4,1,8,0.29,7,0,0,0,1,0,Matches
Kasey McAteer,335,ieIRL,"FW,MF",Leicester City,23-153,2001,5.4,15,2.79,13,0,0,0,2,0,2,0.37,1,0,0,0,1,0,Matches
Keane Lewis-Potter,300,engENG,"DF,FW",Brentford,24-061,2001,30.2,65,2.16,51,0,4,3,6,1,8,0.27,6,0,0,0,2,0,Matches
Kenny Tete,500,nlNED,DF,Fulham,29-197,1995,15.0,24,1.60,16,0,2,3,2,1,3,0.20,3,0,0,0,0,0,Matches
Kepa Arrizabalaga,35,esESP,GK,Bournemouth,30-203,1994,26.0,4,0.15,2,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Kevin Danso,121,atAUT,DF,Tottenham,26-217,1998,4.4,6,1.38,5,0,0,1,0,0,2,0.46,2,0,0,0,0,0,Matches
Kevin De Bruyne,125,beBEL,"MF,FW",Manchester City,33-300,1991,16.2,101,6.24,64,24,3,6,2,2,11,0.68,9,1,0,1,0,0,Matches
Kevin Schade,454,deGER,FW,Brentford,23-148,2001,21.5,46,2.15,27,6,4,4,4,1,8,0.37,5,0,0,3,0,0,Matches
Kieran Tierney,504,sctSCO,"DF,FW",Arsenal,27-323,1997,2.0,8,3.98,7,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Kieran Trippier,516,engENG,DF,Newcastle Utd,34-217,1990,12.2,44,3.59,25,17,0,2,0,0,3,0.25,2,1,0,0,0,0,Matches
Kiernan Dewsbury-Hall,129,engENG,"MF,FW",Chelsea,26-230,1998,2.9,5,1.74,5,0,0,0,0,0,1,0.35,1,0,0,0,0,0,Matches
Kim Jisoo,258,krKOR,DF,Brentford,20-121,2004,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Kobbie Mainoo,318,engENG,MF,Manchester Utd,20-005,2005,15.0,26,1.73,22,0,3,0,1,0,1,0.07,1,0,0,0,0,0,Matches
Konstantinos Mavropanos,331,grGRE,DF,West Ham,27-134,1997,20.6,14,0.68,10,0,1,2,0,1,0,0.00,0,0,0,0,0,0,Matches
Kosta Nedeljković,370,rsSRB,DF,Aston Villa,19-129,2005,1.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Kostas Tsimikas,518,grGRE,DF,Liverpool,28-347,1996,7.4,23,3.10,16,6,0,0,1,0,2,0.27,1,1,0,0,0,0,Matches
Kristoffer Ajer,10,noNOR,DF,Brentford,27-007,1998,15.4,18,1.17,15,0,1,2,0,0,2,0.13,2,0,0,0,0,0,Matches
Kyle Walker,533,engENG,DF,Manchester City,34-331,1990,10.8,17,1.58,17,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Kyle Walker-Peters,534,engENG,DF,Southampton,28-011,1997,30.4,59,1.94,38,3,8,5,3,2,7,0.23,5,0,1,1,0,0,Matches
Lamare Bogarde,61,nlNED,"DF,MF",Aston Villa,21-109,2004,5.3,10,1.89,8,1,0,0,0,1,1,0.19,1,0,0,0,0,0,Matches
Leandro Trossard,517,beBEL,FW,Arsenal,30-141,1994,25.2,78,3.10,61,2,5,5,4,1,6,0.24,6,0,0,0,0,0,Matches
