Player,Rk,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive_2,PassDead_2,TO_2,Sh_2,Fld_2,Def_2,Matches
Micky van de Ven,528,nlNED,DF,Tottenham,24-005,2001,10.6,11,1.04,8,0,0,2,1,0,2,0.19,2,0,0,0,0,0,Matches
Miguel Almirón,17,pyPAR,FW,Newcastle Utd,31-073,1994,1.7,8,4.59,6,0,1,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Mikel Merino,342,esESP,"MF,FW",Arsenal,28-306,1996,15.6,39,2.51,33,0,0,5,1,0,4,0.26,3,0,0,1,0,0,Matches
Mikey Moore,353,engENG,"FW,MF",Tottenham,17-256,2007,2.1,10,4.86,6,2,0,1,1,0,2,0.97,1,0,0,1,0,0,Matches
Mikkel Damsgaard,118,dkDEN,"MF,FW",Brentford,24-295,2000,27.7,109,3.93,84,11,6,2,1,5,21,0.76,15,3,1,0,1,1,Matches
Milos Kerkez,276,huHUN,DF,Bournemouth,21-168,2003,32.2,74,2.30,60,3,1,2,5,3,9,0.28,7,0,1,0,0,1,Matches
Mohamed Salah,443,egEGY,FW,Liverpool,32-313,1992,32.5,144,4.44,105,1,19,13,4,2,24,0.74,18,0,4,2,0,0,Matches
Mohammed Kudus,289,ghGHA,"FW,MF",West Ham,24-265,2000,24.9,94,3.78,67,1,14,9,1,2,6,0.24,4,0,1,1,0,0,Matches
Moisés Caicedo,79,ecECU,MF,Chelsea,23-173,2001,32.2,86,2.67,78,0,0,0,2,6,7,0.22,6,0,0,0,1,0,Matches
Morato,354,brBRA,DF,Nott'ham Forest,23-298,2001,8.9,3,0.34,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Morgan Gibbs-White,196,engENG,MF,Nott'ham Forest,25-087,2000,26.4,98,3.71,83,0,2,7,4,2,17,0.64,12,0,0,4,1,0,Matches
Morgan Rogers,438,engENG,"FW,MF",Aston Villa,22-272,2002,30.7,95,3.10,71,0,12,7,5,0,13,0.42,11,0,1,0,1,0,Matches
Murillo,365,brBRA,DF,Nott'ham Forest,22-294,2002,31.5,35,1.11,23,7,0,2,1,2,2,0.06,1,1,0,0,0,0,Matches
Mykhailo Mudryk,360,uaUKR,FW,Chelsea,24-109,2001,1.7,6,3.60,4,1,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Myles Lewis-Skelly,301,engENG,DF,Arsenal,18-210,2006,12.0,21,1.75,15,0,1,0,5,0,0,0.00,0,0,0,0,0,0,Matches
Nasser Djiga,139,bfBFA,"DF,FW",Wolves,22-160,2002,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Nathan Aké,12,nlNED,DF,Manchester City,30-065,1995,7.5,8,1.06,8,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Nathan Broadhead,69,wlsWAL,"MF,FW",Ipswich Town,27-019,1998,6.7,19,2.83,14,0,5,0,0,0,2,0.30,1,0,1,0,0,0,Matches
Nathan Butler-Oyedeji,78,engENG,FW,Arsenal,22-110,2003,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Nathan Collins,105,ieIRL,DF,Brentford,23-359,2001,33.0,28,0.85,20,2,1,3,2,0,7,0.21,3,1,0,1,2,0,Matches
Nathan Patterson,404,sctSCO,"DF,FW",Everton,23-190,2001,2.3,6,2.66,4,0,2,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Nathan Wood-Gordon,558,engENG,DF,Southampton,22-328,2002,6.9,3,0.43,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Nathaniel Clyne,102,engENG,"DF,MF",Crystal Palace,34-019,1991,5.4,3,0.56,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Neco Williams,549,wlsWAL,DF,Nott'ham Forest,24-011,2001,23.8,40,1.68,32,3,0,4,1,0,5,0.21,4,1,0,0,0,0,Matches
Neto,373,brBRA,GK,Bournemouth,35-279,1989,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Nick Pope,414,engENG,GK,Newcastle Utd,33-005,1992,23.0,4,0.17,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Niclas Füllkrug,189,deGER,FW,West Ham,32-074,1993,6.0,18,2.97,16,0,0,2,0,0,2,0.33,1,0,0,1,0,0,Matches
Nico O’Reilly,398,engENG,DF,Manchester City,20-034,2005,5.1,12,2.37,9,1,1,0,1,0,2,0.39,2,0,0,0,0,0,Matches
Nicolas Jackson,250,snSEN,FW,Chelsea,23-308,2001,22.5,67,2.98,41,0,9,7,8,2,10,0.44,7,0,2,1,0,0,Matches
Nicolás Domínguez,142,arARG,"MF,FW",Nott'ham Forest,26-300,1998,18.0,29,1.61,21,1,0,2,3,2,0,0.00,0,0,0,0,0,0,Matches
Nicolás González,205,esESP,MF,Manchester City,23-111,2002,7.2,15,2.08,13,0,0,1,1,0,3,0.42,2,0,0,0,1,0,Matches
Nikola Milenković,344,rsSRB,DF,Nott'ham Forest,27-194,1997,32.0,18,0.56,14,0,0,3,0,1,3,0.09,3,0,0,0,0,0,Matches
Noni Madueke,314,engENG,FW,Chelsea,23-045,2002,18.3,69,3.77,50,0,9,5,4,1,8,0.44,5,0,0,1,1,1,Matches
Noussair Mazraoui,332,maMAR,DF,Manchester Utd,27-161,1997,28.5,48,1.68,39,2,1,1,3,2,1,0.04,1,0,0,0,0,0,Matches
Nélson Semedo,459,ptPOR,DF,Wolves,31-159,1993,27.6,49,1.77,35,1,7,1,3,2,6,0.22,6,0,0,0,0,0,Matches
Odsonne Édouard,155,frFRA,"MF,FW",Crystal Palace,27-098,1998,1.3,1,0.78,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Ola Aina,8,ngNGA,DF,Nott'ham Forest,28-198,1996,28.5,50,1.75,40,5,2,1,1,1,3,0.11,2,0,0,0,0,1,Matches
Oleksandr Zinchenko,565,uaUKR,"DF,MF",Arsenal,28-130,1996,5.0,15,3.00,11,0,1,2,1,0,2,0.40,2,0,0,0,0,0,Matches
Oliver Scarles,452,engENG,DF,West Ham,19-133,2005,6.6,5,0.76,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Oliver Skipp,470,engENG,MF,Leicester City,24-220,2000,9.6,14,1.46,12,1,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Ollie Watkins,541,engENG,FW,Aston Villa,29-115,1995,25.1,50,1.99,33,0,4,7,6,0,11,0.44,7,0,1,1,2,0,Matches
Omar Marmoush,324,egEGY,"FW,MF",Manchester City,26-076,1999,10.2,33,3.24,18,3,1,4,7,0,1,0.10,0,0,0,0,1,0,Matches
Omari Hutchinson,242,engENG,"MF,FW",Ipswich Town,21-176,2003,24.7,64,2.59,46,0,8,4,4,2,6,0.24,6,0,0,0,0,0,Matches
Orel Mangala,321,beBEL,MF,Everton,27-037,1998,14.0,24,1.72,17,1,2,3,1,0,1,0.07,0,0,0,0,1,0,Matches
Oscar Bobb,60,noNOR,FW,Manchester City,21-286,2003,0.2,2,12.00,1,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Pablo Sarabia,448,esESP,"MF,FW",Wolves,32-348,1992,7.5,23,3.06,16,5,2,0,0,0,3,0.40,2,0,1,0,0,0,Matches
Pape Matar Sarr,328,snSEN,MF,Tottenham,22-222,2002,17.7,40,2.26,33,1,2,3,0,1,6,0.34,4,0,1,1,0,0,Matches
Patrick Dorgu,143,dkDEN,DF,Manchester Utd,20-180,2004,5.5,11,2.00,10,0,0,0,1,0,1,0.18,0,0,0,0,1,0,Matches
Patson Daka,116,zmZAM,"FW,MF",Leicester City,26-197,1998,7.2,10,1.39,7,0,2,1,0,0,1,0.14,0,0,1,0,0,0,Matches
Pau Torres,510,esESP,DF,Aston Villa,28-098,1997,19.2,12,0.62,9,0,0,3,0,0,2,0.10,1,0,0,1,0,0,Matches
Paul Onuachu,392,ngNGA,FW,Southampton,30-331,1994,10.9,9,0.82,8,0,0,1,0,0,1,0.09,1,0,0,0,0,0,Matches
Pedro Lima,303,brBRA,DF,Wolves,18-297,2006,0.8,4,5.14,2,0,0,0,0,2,0,0.00,0,0,0,0,0,0,Matches
Pedro Neto,374,ptPOR,FW,Chelsea,25-046,2000,20.4,82,4.03,61,7,5,5,4,0,7,0.34,4,1,2,0,0,0,Matches
Pedro Porro,415,esESP,DF,Tottenham,25-223,1999,27.4,104,3.80,69,22,3,5,4,1,8,0.29,4,3,1,0,0,0,Matches
Pervis Estupiñán,167,ecECU,DF,Brighton,27-093,1998,22.7,49,2.16,32,13,0,2,2,0,4,0.18,3,0,0,0,1,0,Matches
Phil Foden,182,engENG,"MF,FW",Manchester City,24-331,2000,18.7,84,4.48,56,18,2,5,3,0,9,0.48,5,1,0,3,0,0,Matches
Philip Billing,58,dkDEN,MF,Bournemouth,28-317,1996,2.0,16,7.83,13,0,0,1,0,2,0,0.00,0,0,0,0,0,0,Matches
Radu Drăgușin,149,roROU,DF,Tottenham,23-080,2002,13.9,8,0.58,8,0,0,0,0,0,1,0.07,1,0,0,0,0,0,Matches
Raheem Sterling,484,engENG,"FW,MF",Arsenal,30-137,1994,4.8,18,3.75,14,0,2,2,0,0,3,0.62,3,0,0,0,0,0,Matches
Ramón Sosa,477,pyPAR,"FW,MF",Nott'ham Forest,25-236,1999,2.9,14,4.74,11,0,2,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Rasmus Højlund,243,dkDEN,FW,Manchester Utd,22-079,2003,18.4,30,1.63,20,0,3,4,3,0,1,0.05,0,0,0,0,1,0,Matches
Rayan Aït-Nouri,9,dzALG,DF,Wolves,23-322,2001,30.0,70,2.33,43,13,7,4,2,1,11,0.37,9,1,0,0,0,1,Matches
Raúl Jiménez,257,mxMEX,FW,Fulham,33-354,1991,22.7,52,2.29,35,1,2,9,4,1,6,0.26,3,0,0,1,1,1,Matches
Reece James,251,engENG,"DF,MF",Chelsea,25-137,1999,9.0,15,1.66,9,5,0,1,0,0,1,0.11,0,0,0,1,0,0,Matches
Reiss Nelson,371,engENG,FW,Arsenal,25-135,1999,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Remy Rees-Dottin,424,engENG,FW,Bournemouth,19-049,2006,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Renato Veiga,526,ptPOR,"DF,MF",Chelsea,21-269,2003,2.0,1,0.49,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Ricardo Pereira,406,ptPOR,DF,Leicester City,31-200,1993,3.3,3,0.91,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Riccardo Calafiori,82,itITA,DF,Arsenal,22-340,2002,10.3,13,1.26,11,0,1,1,0,0,2,0.19,2,0,0,0,0,0,Matches
Richarlison,431,brBRA,FW,Tottenham,27-349,1997,4.3,8,1.87,5,0,0,2,1,0,1,0.23,1,0,0,0,0,0,Matches
Rico Henry,232,engENG,DF,Brentford,27-290,1997,0.2,1,4.74,1,0,0,0,0,0,1,4.74,1,0,0,0,0,0,Matches
Rico Lewis,299,engENG,"DF,MF",Manchester City,20-154,2004,20.1,31,1.54,30,0,0,0,1,0,3,0.15,3,0,0,0,0,0,Matches
Robert Sánchez,445,esESP,GK,Chelsea,27-157,1997,27.0,7,0.26,6,1,0,0,0,0,2,0.07,1,1,0,0,0,0,Matches
Robin Olsen,389,seSWE,GK,Aston Villa,35-106,1990,2.0,2,1.00,0,2,0,0,0,0,1,0.50,0,1,0,0,0,0,Matches
Rodri,435,esESP,MF,Manchester City,28-306,1996,0.7,2,2.77,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Rodrigo Bentancur,52,uyURU,MF,Tottenham,27-303,1997,16.9,45,2.67,36,0,1,5,1,2,3,0.18,3,0,0,0,0,0,Matches
Rodrigo Gomes,201,ptPOR,"DF,FW",Wolves,21-291,2003,7.0,18,2.56,16,0,1,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Rodrigo Muniz,362,brBRA,FW,Fulham,23-355,2001,10.7,17,1.59,10,0,2,2,2,1,2,0.19,1,0,1,0,0,0,Matches
Romain Esse,166,engENG,MF,Crystal Palace,19-346,2005,0.4,2,5.14,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Roman Dixon,138,engENG,DF,Everton,20-119,2004,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Roméo Lavia,295,beBEL,MF,Chelsea,21-108,2004,6.0,11,1.83,11,0,0,0,0,0,2,0.33,2,0,0,0,0,0,Matches
Ronnie Edwards,158,engENG,DF,Southampton,22-027,2003,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Ross Barkley,45,engENG,MF,Aston Villa,31-140,1993,6.3,17,2.72,14,1,2,0,0,0,3,0.48,3,0,0,0,0,0,Matches
Ross Stewart,485,sctSCO,"FW,MF",Southampton,28-287,1996,2.0,2,1.02,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Ryan Christie,99,sctSCO,MF,Bournemouth,30-061,1995,23.5,85,3.62,72,7,0,3,2,1,9,0.38,8,1,0,0,0,0,Matches
Ryan Fraser,187,sctSCO,"FW,DF",Southampton,31-059,1994,3.4,5,1.47,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Ryan Gravenberch,207,nlNED,MF,Liverpool,22-343,2002,31.5,63,2.00,56,0,4,2,0,1,6,0.19,6,0,0,0,0,0,Matches
Ryan Manning,322,ieIRL,"DF,MF",Southampton,28-314,1996,14.2,41,2.88,21,18,0,1,0,1,1,0.07,0,1,0,0,0,0,Matches
Ryan Sessegnon,462,engENG,"FW,DF",Fulham,24-341,2000,3.6,11,3.05,8,0,0,2,1,0,3,0.83,3,0,0,0,0,0,Matches
Ryan Trevitt,515,engENG,MF,Brentford,22-043,2003,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Ryan Yates,561,engENG,MF,Nott'ham Forest,27-154,1997,19.7,35,1.77,24,0,1,6,2,2,3,0.15,2,0,0,1,0,0,Matches
Rúben Dias,131,ptPOR,DF,Manchester City,27-345,1997,21.2,22,1.04,15,0,0,5,0,2,1,0.05,1,0,0,0,0,0,Matches
Sam Johnstone,263,engENG,GK,Wolves,32-030,1993,7.0,2,0.29,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Sam Morsy,356,egEGY,MF,Ipswich Town,33-226,1991,25.9,37,1.43,34,3,0,0,0,0,2,0.08,2,0,0,0,0,0,Matches
Sammie Szmodics,492,ieIRL,"FW,MF",Ipswich Town,29-212,1995,10.9,9,0.83,7,0,1,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Samuel Amo-Ameyaw,21,engENG,"FW,DF",Southampton,18-280,2006,0.3,2,6.43,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Samuel Edozie,157,engENG,"DF,FW",Southampton,22-086,2003,0.7,4,5.54,3,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Sander Berge,54,noNOR,MF,Fulham,27-069,1998,21.9,39,1.78,34,1,1,1,0,2,2,0.09,2,0,0,0,0,0,Matches
Sandro Tonali,509,itITA,MF,Newcastle Utd,24-351,2000,24.2,51,2.10,35,1,3,4,5,3,7,0.29,7,0,0,0,0,0,Matches
Santiago Bueno,73,uyURU,DF,Wolves,26-166,1998,18.6,12,0.65,10,1,0,0,0,1,4,0.22,3,0,0,0,0,1,Matches
Saša Lukić,308,rsSRB,MF,Fulham,28-254,1996,22.6,49,2.17,31,11,0,5,1,1,3,0.13,2,0,0,1,0,0,Matches
Scott McTominay,339,sctSCO,MF,Manchester Utd,28-137,1996,0.2,1,4.74,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Sean Longstaff,307,engENG,MF,Newcastle Utd,27-176,1997,8.9,14,1.58,12,0,1,1,0,0,2,0.23,1,0,0,1,0,0,Matches
Sepp van den Berg,127,nlNED,DF,Brentford,23-125,2001,23.7,20,0.84,19,0,0,0,1,0,2,0.08,1,0,0,0,1,0,Matches
Sergio Reguilón,425,esESP,DF,Tottenham,28-129,1996,1.4,1,0.73,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Shumaira Mheuka,343,engENG,MF,Chelsea,17-186,2007,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Simon Adingra,5,ciCIV,"FW,MF",Brighton,23-113,2002,9.2,34,3.70,24,0,5,5,0,0,6,0.65,4,0,1,1,0,0,Matches
Solly March,323,engENG,"FW,MF",Brighton,30-278,1994,1.2,7,5.94,6,1,0,0,0,0,2,1.70,2,0,0,0,0,0,Matches
Son Heung-min,234,krKOR,FW,Tottenham,32-290,1992,22.3,116,5.21,86,8,10,7,5,0,15,0.67,13,0,0,1,1,0,Matches
Stefan Ortega,395,deGER,GK,Manchester City,32-169,1992,12.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Stephy Mavididi,330,engENG,FW,Leicester City,26-328,1998,17.9,50,2.78,39,2,4,2,2,1,7,0.39,6,0,1,0,0,0,Matches
Sven Botman,63,nlNED,DF,Newcastle Utd,25-102,2000,2.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Sávio,451,brBRA,"FW,MF",Manchester City,21-014,2004,19.3,107,5.55,76,2,15,4,7,3,15,0.78,10,0,2,1,1,1,Matches
Séamus Coleman,104,ieIRL,DF,Everton,36-195,1988,2.2,2,0.91,1,0,1,0,0,0,1,0.46,1,0,0,0,0,0,Matches
Taiwo Awoniyi,38,ngNGA,FW,Nott'ham Forest,27-255,1997,4.2,9,2.14,5,0,1,2,1,0,1,0.24,0,0,0,1,0,0,Matches
Takehiro Tomiyasu,508,jpJPN,DF,Arsenal,26-170,1998,0.1,1,12.86,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Tariq Lamptey,293,ghGHA,DF,Brighton,24-206,2000,8.5,15,1.76,12,1,0,0,1,1,3,0.35,2,0,0,0,0,1,Matches
Taylor Harwood-Bellis,226,engENG,DF,Southampton,23-084,2002,27.5,35,1.27,30,0,0,3,1,1,2,0.07,1,0,0,1,0,0,Matches
Thiago,501,brBRA,FW,Brentford,23-302,2001,1.5,2,1.36,1,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
Thomas Partey,403,ghGHA,"MF,DF",Arsenal,31-315,1993,27.1,56,2.07,46,2,1,2,1,4,13,0.48,8,2,0,1,1,1,Matches
Tim Iroegbunam,246,engENG,MF,Everton,21-298,2003,6.3,10,1.59,6,0,1,0,1,2,1,0.16,1,0,0,0,0,0,Matches
Timo Werner,545,deGER,"FW,MF",Tottenham,29-049,1996,5.7,18,3.13,14,0,2,1,1,0,3,0.52,3,0,0,0,0,0,Matches
Timothy Castagne,90,beBEL,DF,Fulham,29-140,1995,18.1,25,1.38,21,0,1,2,1,0,3,0.17,2,0,0,1,0,0,Matches
Toby Collyer,106,engENG,MF,Manchester Utd,21-111,2004,2.0,5,2.50,4,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Tom Cairney,80,sctSCO,MF,Fulham,34-094,1991,5.4,26,4.77,24,1,0,0,1,0,2,0.37,2,0,0,0,0,0,Matches
Tommy Doyle,148,engENG,MF,Wolves,23-189,2001,5.4,17,3.13,11,4,1,1,0,0,3,0.55,2,0,1,0,0,0,Matches
Tomáš Souček,478,czCZE,MF,West Ham,30-056,1995,24.0,43,1.79,35,0,0,5,2,1,3,0.12,2,0,0,0,1,0,Matches
Tosin Adarabioyo,4,engENG,DF,Chelsea,27-212,1997,13.7,12,0.88,7,0,0,5,0,0,1,0.07,0,0,0,1,0,0,Matches
Toti Gomes,202,ptPOR,DF,Wolves,26-098,1999,24.0,18,0.75,17,0,0,1,0,0,1,0.04,1,0,0,0,0,0,Matches
Trent Alexander-Arnold,15,engENG,DF,Liverpool,26-199,1998,24.1,92,3.82,71,14,4,3,0,0,10,0.42,9,1,0,0,0,0,Matches
Trevoh Chalobah,91,engENG,DF,Crystal Palace,25-293,1999,11.8,11,0.93,10,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Tyler Adams,3,usUSA,MF,Bournemouth,26-069,1999,17.0,35,2.06,30,0,0,1,0,4,4,0.24,3,0,0,0,0,1,Matches
Tyler Dibling,133,engENG,"FW,MF",Southampton,19-043,2006,18.7,55,2.94,34,1,11,5,4,0,4,0.21,2,0,1,1,0,0,Matches
Tyler Fredricson,188,engENG,DF,Manchester Utd,20-060,2005,1.0,2,2.00,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Tyrell Malacia,319,nlNED,DF,Manchester Utd,25-250,1999,1.1,2,1.80,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Tyrick Mitchell,349,engENG,DF,Crystal Palace,25-235,1999,31.7,66,2.08,61,1,0,3,1,0,5,0.16,5,0,0,0,0,0,Matches
Tyrique George,195,engENG,FW,Chelsea,19-079,2006,1.1,6,5.29,5,0,1,0,0,0,1,0.88,1,0,0,0,0,0,Matches
Tyrone Mings,347,engENG,DF,Aston Villa,32-042,1993,11.7,17,1.45,14,0,0,1,1,1,2,0.17,1,0,0,1,0,0,Matches
Valentino Livramento,306,engENG,DF,Newcastle Utd,22-163,2002,26.6,37,1.39,35,0,0,1,1,0,2,0.08,2,0,0,0,0,0,Matches
Victor Bernth Kristiansen,56,dkDEN,DF,Leicester City,22-129,2002,26.4,41,1.55,32,6,1,0,2,0,3,0.11,3,0,0,0,0,0,Matches
Victor Lindelöf,304,seSWE,DF,Manchester Utd,30-281,1994,4.9,4,0.81,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Virgil van Dijk,524,nlNED,DF,Liverpool,33-290,1991,33.0,44,1.33,37,0,1,3,1,2,4,0.12,4,0,0,0,0,0,Matches
Vitaliy Mykolenko,367,uaUKR,DF,Everton,25-330,1999,29.2,35,1.20,33,0,1,1,0,0,3,0.10,2,0,0,1,0,0,Matches
Vitaly Janelt,252,deGER,MF,Brentford,26-349,1998,25.0,32,1.28,31,1,0,0,0,0,3,0.12,3,0,0,0,0,0,Matches
Vitezslav Jaros,253,czCZE,GK,Liverpool,23-275,2001,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Vitor Reis,427,brBRA,DF,Manchester City,19-102,2006,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Vladimír Coufal,110,czCZE,DF,West Ham,32-245,1992,9.6,13,1.36,9,4,0,0,0,0,1,0.10,0,1,0,0,0,0,Matches
Wataru Endo,164,jpJPN,MF,Liverpool,32-074,1993,1.7,3,1.73,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Welington,544,brBRA,"DF,MF",Southampton,24-064,2001,2.4,6,2.51,5,1,0,0,0,0,1,0.42,1,0,0,0,0,0,Matches
Wes Burns,77,wlsWAL,"FW,DF",Ipswich Town,30-152,1994,10.3,16,1.55,12,0,1,1,2,0,1,0.10,1,0,0,0,0,0,Matches
Wesley Fofana,183,frFRA,DF,Chelsea,24-128,2000,13.0,15,1.15,12,1,1,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Wilfred Ndidi,369,ngNGA,MF,Leicester City,28-129,1996,21.9,25,1.14,23,0,1,1,0,0,3,0.14,3,0,0,0,0,0,Matches
Will Alves,19,engENG,FW,Leicester City,20-080,2005,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Will Hughes,240,engENG,MF,Crystal Palace,30-007,1995,20.8,61,2.94,38,15,1,2,5,0,6,0.29,2,3,0,1,0,0,Matches
Will Lankshear,294,engENG,"FW,MF",Tottenham,20-004,2005,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
William Osula,396,dkDEN,FW,Newcastle Utd,21-263,2003,1.0,2,2.00,1,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
William Saliba,444,frFRA,DF,Arsenal,24-031,2001,31.3,26,0.83,24,0,0,1,0,1,1,0.03,1,0,0,0,0,0,Matches
William Smallbone,471,ieIRL,MF,Southampton,25-062,2000,6.8,15,2.21,11,3,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Willian,550,brBRA,"MF,FW",Fulham,36-258,1988,1.8,8,4.47,6,1,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Willy Boly,62,ciCIV,DF,Nott'ham Forest,34-080,1991,1.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Wilson Odobert,386,frFRA,FW,Tottenham,20-147,2004,5.7,12,2.10,10,0,0,2,0,0,1,0.17,1,0,0,0,0,0,Matches
Wout Faes,173,beBEL,DF,Leicester City,27-021,1998,26.3,13,0.49,11,0,0,1,0,1,0,0.00,0,0,0,0,0,0,Matches
Woyo Coulibaly,111,frFRA,DF,Leicester City,25-339,1999,1.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Yankuba Minteh,348,gmGAM,"FW,MF",Brighton,20-276,2004,16.3,52,3.19,31,8,10,1,1,1,10,0.61,5,0,4,1,0,0,Matches
Yasin Ayari,39,seSWE,MF,Brighton,21-200,2003,18.3,52,2.84,29,11,3,3,4,2,6,0.33,4,2,0,0,0,0,Matches
Yehor Yarmoliuk,560,uaUKR,MF,Brentford,21-054,2004,11.5,18,1.56,16,0,1,1,0,0,2,0.17,2,0,0,0,0,0,Matches
Yerson Mosquera,357,coCOL,DF,Wolves,23-357,2001,4.9,5,1.02,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Yoane Wissa,556,cdCOD,FW,Brentford,28-233,1996,27.4,58,2.11,36,0,3,9,9,1,8,0.29,7,0,0,0,1,0,Matches
Youri Tielemans,503,beBEL,MF,Aston Villa,27-352,1997,32.4,116,3.58,75,31,3,4,2,1,12,0.37,9,3,0,0,0,0,Matches
Youssef Chermiti,94,ptPOR,"FW,MF",Everton,20-335,2004,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Yukinari Sugawara,489,jpJPN,"DF,MF",Southampton,24-300,2000,16.3,39,2.39,30,5,1,3,0,0,1,0.06,1,0,0,0,0,0,Matches
Yunus Emre Konak,161,trTUR,"FW,MF",Brentford,19-104,2006,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Yves Bissouma,59,mlMLI,MF,Tottenham,28-237,1996,13.4,15,1.12,14,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
Zain Silcott-Duberry,464,msMSR,FW,Bournemouth,19-289,2005,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Álex Moreno,355,esESP,"DF,MF",Nott'ham Forest,31-320,1993,10.6,16,1.51,15,1,0,0,0,0,2,0.19,2,0,0,0,0,0,Matches
İlkay Gündoğan,218,deGER,MF,Manchester City,34-182,1990,21.9,72,3.29,56,8,4,4,0,0,10,0.46,8,1,0,1,0,0,Matches
Łukasz Fabiański,172,plPOL,GK,West Ham,40-006,1985,11.9,3,0.25,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
