Player,Rk,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
André Onana,391,cmCMR,GK,Manchester Utd,29-022,1996,32.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Andrés García,192,esESP,"DF,MF",Aston Villa,22-076,2003,3.5,0,2,0,0.0,0.57,0.00,0.00,N/a,26.6,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Andy Irving,247,sctSCO,MF,West Ham,24-346,2000,1.8,0,4,2,50.0,2.17,1.08,0.00,0.00,26.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Anthony Elanga,159,seSWE,FW,Nott'ham Forest,22-362,2002,22.8,6,35,16,45.7,1.54,0.70,0.17,0.38,16.8,4,0,0,3.9,3.9,0.11,+2.1,+2.1,Matches
Anthony Gordon,206,engENG,FW,Newcastle Utd,24-059,2001,24.2,6,53,15,28.3,2.19,0.62,0.09,0.33,16.3,1,1,2,7.9,6.3,0.12,-1.9,-1.3,Matches
Antoine Semenyo,460,ghGHA,FW,Bournemouth,25-107,2000,31.4,8,116,36,31.0,3.70,1.15,0.07,0.22,17.2,0,0,0,9.1,9.1,0.08,-1.1,-1.1,Matches
Antonee Robinson,433,usUSA,DF,Fulham,27-259,1997,32.2,0,16,2,12.5,0.50,0.06,0.00,0.00,22.1,0,0,0,0.7,0.7,0.04,-0.7,-0.7,Matches
Antony,28,brBRA,"DF,MF",Manchester Utd,25-059,2000,1.6,0,6,3,50.0,3.83,1.91,0.00,0.00,15.8,0,0,0,1.0,1.0,0.17,-1.0,-1.0,Matches
Antonín Kinský,281,czCZE,GK,Tottenham,22-042,2003,4.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Archie Gray,208,engENG,"DF,MF",Tottenham,19-043,2006,15.0,0,1,1,100.0,0.07,0.07,0.00,0.00,24.6,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Arijanet Muric,364,xkKVX,GK,Ipswich Town,26-168,1998,18.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Armando Broja,70,alALB,FW,Everton,23-226,2001,3.7,0,4,0,0.0,1.08,0.00,0.00,N/a,17.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Armel Bella Kotchap,50,deGER,DF,Southampton,23-134,2001,3.7,0,1,0,0.0,0.27,0.00,0.00,N/a,9.1,0,0,0,0.3,0.3,0.32,-0.3,-0.3,Matches
Asher Agbinone,7,engENG,MF,Crystal Palace,19-208,2005,0.1,0,1,0,0.0,15.00,0.00,0.00,N/a,26.3,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Ashley Young,563,engENG,"DF,FW",Everton,39-289,1985,17.6,1,6,3,50.0,0.34,0.17,0.17,0.33,24.5,3,0,0,0.3,0.3,0.04,+0.7,+0.7,Matches
Axel Disasi,136,frFRA,DF,Aston Villa,27-044,1998,5.4,0,2,0,0.0,0.37,0.00,0.00,N/a,19.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Axel Tuanzebe,519,cdCOD,DF,Ipswich Town,27-161,1997,16.1,0,4,0,0.0,0.25,0.00,0.00,N/a,15.7,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
Ayden Heaven,228,engENG,DF,Manchester Utd,18-214,2006,1.1,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Bart Verbruggen,529,nlNED,GK,Brighton,22-249,2002,31.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Ben Brereton,68,clCHI,FW,Southampton,26-006,1999,5.0,0,11,1,9.1,2.20,0.20,0.00,0.00,17.3,0,0,0,0.9,0.9,0.08,-0.9,-0.9,Matches
Ben Chilwell,96,engENG,DF,Crystal Palace,28-124,1996,1.5,0,2,1,50.0,1.29,0.65,0.00,0.00,27.6,1,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Ben Davies,122,wlsWAL,DF,Tottenham,32-000,1993,10.5,0,5,1,20.0,0.48,0.10,0.00,0.00,17.0,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
Ben Godfrey,198,engENG,DF,Ipswich Town,27-099,1998,1.2,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Ben Johnson,261,engENG,"DF,FW",Ipswich Town,25-090,2000,14.6,1,7,3,42.9,0.48,0.21,0.14,0.33,12.6,0,0,0,1.1,1.1,0.15,-0.1,-0.1,Matches
