Player,Rk,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Diogo Jota,266,ptPOR,FW,Liverpool,28-141,1996,11.9,6,45,13,28.9,3.77,1.09,0.13,0.46,12.4,0,0,0,7.3,7.3,0.16,-1.3,-1.3,Matches
Divin Mubama,359,engENG,FW,Manchester City,20-181,2004,0.3,0,1,0,0.0,3.21,0.00,0.00,N/a,17.2,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
Djed Spence,480,engENG,DF,Tottenham,24-258,2000,15.8,1,9,3,33.3,0.57,0.19,0.11,0.33,22.3,0,0,0,0.5,0.5,0.06,+0.5,+0.5,Matches
Dominic Calvert-Lewin,83,engENG,FW,Everton,28-039,1997,17.5,3,46,17,37.0,2.63,0.97,0.07,0.18,12.3,0,0,0,6.1,6.1,0.13,-3.1,-3.1,Matches
Dominic Solanke,474,engENG,FW,Tottenham,27-222,1997,22.8,7,56,22,39.3,2.46,0.96,0.13,0.32,12.2,0,0,0,9.9,9.9,0.18,-2.9,-2.9,Matches
Dominik Szoboszlai,493,huHUN,MF,Liverpool,24-181,2000,24.3,5,60,19,31.7,2.47,0.78,0.08,0.26,18.6,3,0,0,6.9,6.9,0.11,-1.9,-1.9,Matches
Donyell Malen,320,nlNED,FW,Aston Villa,26-105,1999,3.0,3,12,8,66.7,3.96,2.64,0.25,0.38,16.3,0,0,0,1.7,1.7,0.14,+1.3,+1.3,Matches
Dwight McNeil,338,engENG,"MF,FW",Everton,25-153,1999,12.9,3,23,8,34.8,1.79,0.62,0.13,0.38,22.0,0,0,0,0.9,0.9,0.04,+2.1,+2.1,Matches
Eberechi Eze,171,engENG,"MF,FW",Crystal Palace,26-299,1998,26.0,4,93,24,25.8,3.58,0.92,0.04,0.17,21.5,16,0,1,8.2,7.4,0.08,-4.2,-3.4,Matches
Eddie Nketiah,375,engENG,"FW,MF",Crystal Palace,25-329,1999,9.8,1,36,12,33.3,3.68,1.23,0.03,0.08,14.4,0,0,0,4.3,4.3,0.12,-3.3,-3.3,Matches
Ederson,153,brBRA,GK,Manchester City,31-250,1993,21.8,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Edmond-Paris Maghoma,316,engENG,"MF,FW",Brentford,23-351,2001,1.3,0,1,0,0.0,0.76,0.00,0.00,N/a,23.8,0,0,0,0.1,0.1,0.12,-0.1,-0.1,Matches
Edson Álvarez,18,mxMEX,MF,West Ham,27-182,1997,18.1,0,11,1,9.1,0.61,0.06,0.00,0.00,26.7,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
Eiran Cashin,89,ieIRL,DF,Brighton,23-166,2001,0.2,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Elliot Anderson,25,engENG,MF,Nott'ham Forest,22-169,2002,25.7,2,34,6,17.6,1.32,0.23,0.06,0.33,19.9,0,0,0,1.7,1.7,0.05,+0.3,+0.3,Matches
Emerson Palmieri,401,itITA,DF,West Ham,30-264,1994,21.4,2,16,7,43.8,0.75,0.33,0.13,0.29,19.0,3,0,0,2.0,2.0,0.12,0.0,0.0,Matches
Emi Buendía,72,arARG,"MF,FW",Aston Villa,28-120,1996,1.1,0,5,0,0.0,4.59,0.00,0.00,N/a,19.1,1,0,0,0.7,0.7,0.13,-0.7,-0.7,Matches
Emil Krafth,288,seSWE,DF,Newcastle Utd,30-265,1994,3.2,0,1,0,0.0,0.31,0.00,0.00,N/a,14.6,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Emile Smith Rowe,473,engENG,MF,Fulham,24-270,2000,20.3,5,32,8,25.0,1.58,0.39,0.16,0.63,15.4,0,0,0,4.1,4.1,0.13,+0.9,+0.9,Matches
Emiliano Martínez,326,arARG,GK,Aston Villa,32-234,1992,32.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Emmanuel Agbadou,6,ciCIV,DF,Wolves,27-311,1997,10.7,0,5,1,20.0,0.47,0.09,0.00,0.00,24.6,1,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
Enes Ünal,523,trTUR,"FW,MF",Bournemouth,27-349,1997,3.8,2,20,7,35.0,5.22,1.83,0.10,0.29,14.6,3,0,0,2.7,2.7,0.14,-0.7,-0.7,Matches
Enzo Fernández,180,arARG,MF,Chelsea,24-097,2001,27.8,5,48,18,37.5,1.73,0.65,0.10,0.28,18.4,2,0,0,5.3,5.3,0.11,-0.3,-0.3,Matches
Eric da Silva Moreira,467,deGER,"MF,DF",Nott'ham Forest,18-356,2006,0.3,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Erling Haaland,221,noNOR,FW,Manchester City,24-277,2000,27.6,21,99,54,54.5,3.59,1.96,0.19,0.35,12.2,1,2,3,20.8,18.4,0.19,+0.2,+0.6,Matches
Ethan Nwaneri,380,engENG,"FW,MF",Arsenal,18-034,2007,9.1,4,22,8,36.4,2.43,0.88,0.18,0.50,18.2,1,0,0,1.1,1.1,0.05,+2.9,+2.9,Matches
Ethan Pinnock,411,jmJAM,DF,Brentford,31-330,1993,21.3,2,10,6,60.0,0.47,0.28,0.20,0.33,11.1,0,0,0,1.1,1.1,0.11,+0.9,+0.9,Matches
Evan Ferguson,176,ieIRL,FW,West Ham,20-187,2004,1.6,0,5,1,20.0,3.10,0.62,0.00,0.00,17.2,0,0,0,0.6,0.6,0.11,-0.6,-0.6,Matches
Evanilson,168,brBRA,FW,Bournemouth,25-200,1999,21.1,9,62,28,45.2,2.93,1.32,0.15,0.32,12.9,0,0,1,11.0,10.2,0.17,-2.0,-1.2,Matches
Ezri Konsa,285,engENG,DF,Aston Villa,27-183,1997,28.6,1,9,3,33.3,0.31,0.10,0.11,0.33,9.1,0,0,0,0.9,0.9,0.10,+0.1,+0.1,Matches
Fabian Schär,455,chSUI,DF,Newcastle Utd,33-125,1991,27.7,4,28,10,35.7,1.01,0.36,0.14,0.40,21.6,3,0,0,2.1,2.1,0.08,+1.9,+1.9,Matches
Fabio Carvalho,85,ptPOR,"FW,MF",Brentford,22-237,2002,5.1,2,12,5,41.7,2.37,0.99,0.17,0.40,14.7,0,0,0,2.5,2.5,0.21,-0.5,-0.5,Matches
Facundo Buonanotte,74,arARG,"FW,MF",Leicester City,20-122,2004,15.9,4,33,10,30.3,2.08,0.63,0.12,0.40,17.9,0,0,0,3.7,3.7,0.11,+0.3,+0.3,Matches
Federico Chiesa,95,itITA,FW,Liverpool,27-181,1997,0.4,0,4,2,50.0,9.73,4.86,0.00,0.00,20.1,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
Ferdi Kadioglu,269,trTUR,"DF,MF",Brighton,25-199,1999,4.3,1,4,1,25.0,0.94,0.23,0.25,1.00,15.1,0,0,0,0.4,0.4,0.11,+0.6,+0.6,Matches
Filip Jørgensen,268,dkDEN,GK,Chelsea,23-008,2002,6.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Flynn Downes,147,engENG,MF,Southampton,26-094,1999,18.9,1,10,3,30.0,0.53,0.16,0.10,0.33,18.7,0,0,0,0.6,0.6,0.06,+0.4,+0.4,Matches
Frank Onyeka,393,ngNGA,MF,Brentford,27-113,1998,0.3,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Fraser Forster,185,engENG,GK,Tottenham,37-038,1988,7.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Gabriel Jesus,256,brBRA,FW,Arsenal,28-021,1997,6.8,3,20,7,35.0,2.96,1.04,0.15,0.43,11.1,0,0,0,3.0,3.0,0.15,0.0,0.0,Matches
Gabriel Magalhães,315,brBRA,DF,Arsenal,27-126,1997,26.3,3,22,5,22.7,0.84,0.19,0.14,0.60,9.5,0,0,0,2.6,2.6,0.12,+0.4,+0.4,Matches
Gabriel Martinelli,325,brBRA,"FW,MF",Arsenal,23-310,2001,21.7,7,45,19,42.2,2.07,0.87,0.16,0.37,13.0,0,0,0,5.9,5.9,0.13,+1.1,+1.1,Matches
George Edmundson,154,engENG,DF,Ipswich Town,27-236,1997,0.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
George Hirst,237,sctSCO,FW,Ipswich Town,26-068,1999,5.0,2,9,4,44.4,1.80,0.80,0.22,0.50,12.0,0,0,0,1.3,1.3,0.14,+0.7,+0.7,Matches
Georginio Rutter,440,frFRA,"MF,FW",Brighton,23-004,2002,18.4,5,50,12,24.0,2.72,0.65,0.10,0.42,15.5,0,0,0,4.6,4.6,0.09,+0.4,+0.4,Matches
Gonçalo Guedes,213,ptPOR,"MF,FW",Wolves,28-146,1996,8.6,2,18,7,38.9,2.10,0.82,0.11,0.29,19.9,0,0,0,2.2,2.2,0.12,-0.2,-0.2,Matches
Guglielmo Vicario,531,itITA,GK,Tottenham,28-199,1996,21.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Guido Rodríguez,436,arARG,MF,West Ham,31-012,1994,11.3,0,8,1,12.5,0.71,0.09,0.00,0.00,27.8,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
Gustavo Nunes,377,brBRA,"MF,FW",Brentford,19-155,2005,0.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Hamza Choudhury,98,bdBAN,"MF,DF",Leicester City,27-205,1997,1.5,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Harrison Armstrong,34,engENG,MF,Everton,18-095,2007,0.5,0,1,0,0.0,1.87,0.00,0.00,N/a,5.8,0,0,0,0.4,0.4,0.37,-0.4,-0.4,Matches
Harrison Reed,423,engENG,MF,Fulham,30-087,1995,1.0,0,3,2,66.7,2.90,1.94,0.00,0.00,21.7,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
Harry Amass,20,engENG,DF,Manchester Utd,18-039,2007,1.8,0,1,0,0.0,0.54,0.00,0.00,N/a,29.6,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Harry Clarke,100,engENG,DF,Ipswich Town,24-053,2001,4.2,0,1,1,100.0,0.24,0.24,0.00,0.00,4.5,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
Harry Maguire,317,engENG,DF,Manchester Utd,32-050,1993,15.8,1,11,4,36.4,0.70,0.25,0.09,0.25,8.1,0,0,0,1.4,1.4,0.13,-0.4,-0.4,Matches
Harry Toffolo,507,engENG,DF,Nott'ham Forest,29-248,1995,1.5,0,1,0,0.0,0.66,0.00,0.00,N/a,28.5,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Harry Wilson,553,wlsWAL,"FW,MF",Fulham,28-033,1997,9.5,5,28,9,32.1,2.96,0.95,0.18,0.56,17.2,1,0,0,3.2,3.2,0.12,+1.8,+1.8,Matches
Harry Winks,554,engENG,MF,Leicester City,29-081,1996,17.1,0,10,4,40.0,0.59,0.23,0.00,0.00,29.2,0,0,0,0.2,0.2,0.02,-0.2,-0.2,Matches
Harvey Barnes,46,engENG,FW,Newcastle Utd,27-136,1997,14.9,9,48,16,33.3,3.23,1.08,0.19,0.56,14.1,0,0,0,6.2,6.2,0.13,+2.8,+2.8,Matches
Harvey Elliott,160,engENG,"MF,FW",Liverpool,22-020,2003,2.0,0,10,2,20.0,4.89,0.98,0.00,0.00,16.8,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches
Hwang Hee-chan,230,krKOR,"MF,FW",Wolves,29-088,1996,7.2,2,5,3,60.0,0.70,0.42,0.40,0.67,17.4,0,0,0,0.8,0.8,0.16,+1.2,+1.2,Matches
Hákon Rafn Valdimarsson,417,isISL,GK,Brentford,23-193,2001,1.6,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Ian Maatsen,311,nlNED,DF,Aston Villa,23-045,2002,9.9,1,16,5,31.3,1.62,0.51,0.06,0.20,22.7,0,0,0,0.7,0.7,0.05,+0.3,+0.3,Matches
Ibrahim Sangaré,447,ciCIV,MF,Nott'ham Forest,27-143,1997,3.1,0,1,1,100.0,0.32,0.32,0.00,0.00,32.0,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Ibrahima Konaté,284,frFRA,DF,Liverpool,25-334,1999,24.8,1,17,3,17.6,0.69,0.12,0.06,0.33,10.4,0,0,0,1.6,1.6,0.10,-0.6,-0.6,Matches
Idrissa Gana Gueye,191,snSEN,MF,Everton,35-210,1989,29.1,0,26,4,15.4,0.89,0.14,0.00,0.00,25.3,0,0,0,1.0,1.0,0.04,-1.0,-1.0,Matches
Igor,244,brBRA,DF,Brighton,27-076,1998,10.0,0,1,0,0.0,0.10,0.00,0.00,N/a,14.1,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches
Iliman Ndiaye,368,snSEN,FW,Everton,25-049,2000,23.5,7,31,13,41.9,1.32,0.55,0.16,0.38,17.3,0,2,2,5.2,3.6,0.12,+1.8,+1.4,Matches
Illia Zabarnyi,564,uaUKR,DF,Bournemouth,22-235,2002,29.6,0,8,0,0.0,0.27,0.00,0.00,N/a,8.8,0,0,0,1.0,1.0,0.12,-1.0,-1.0,Matches
Ismaila Sarr,450,snSEN,"MF,FW",Crystal Palace,27-058,1998,26.6,7,48,24,50.0,1.81,0.90,0.15,0.29,13.3,0,0,0,8.7,8.7,0.19,-1.7,-1.7,Matches
Issa Diop,135,frFRA,DF,Fulham,28-105,1997,14.9,0,5,2,40.0,0.34,0.13,0.00,0.00,10.7,0,0,0,0.5,0.5,0.11,-0.5,-0.5,Matches
Jack Clarke,101,engENG,"FW,MF",Ipswich Town,24-152,2000,11.0,0,14,2,14.3,1.27,0.18,0.00,0.00,19.4,0,0,0,1.0,1.0,0.07,-1.0,-1.0,Matches
Jack Grealish,209,engENG,"FW,MF",Manchester City,29-226,1995,8.0,1,15,5,33.3,1.87,0.62,0.07,0.20,16.3,0,0,0,1.1,1.1,0.08,-0.1,-0.1,Matches
Jack Harrison,225,engENG,FW,Everton,28-155,1996,20.3,1,27,6,22.2,1.33,0.30,0.04,0.17,16.3,0,0,0,3.3,3.3,0.12,-2.3,-2.3,Matches
Jack Hinshelwood,236,engENG,"DF,MF",Brighton,20-013,2005,17.7,2,13,6,46.2,0.73,0.34,0.15,0.33,13.2,0,0,0,1.4,1.4,0.11,+0.6,+0.6,Matches
Jack Stephens,483,engENG,DF,Southampton,31-087,1994,11.9,0,3,1,33.3,0.25,0.08,0.00,0.00,12.1,0,0,0,0.3,0.3,0.10,-0.3,-0.3,Matches
Jack Taylor,498,ieIRL,MF,Ipswich Town,26-305,1998,6.7,1,17,4,23.5,2.55,0.60,0.06,0.25,23.0,0,0,0,0.7,0.7,0.04,+0.3,+0.3,Matches
Jacob Greaves,210,engENG,DF,Ipswich Town,24-224,2000,19.5,1,8,4,50.0,0.41,0.21,0.13,0.25,8.3,0,0,0,1.2,1.2,0.16,-0.2,-0.2,Matches
Jacob Murphy,366,engENG,FW,Newcastle Utd,30-059,1995,22.4,8,39,15,38.5,1.74,0.67,0.21,0.53,17.9,0,0,0,5.5,5.5,0.14,+2.5,+2.5,Matches
Jacob Ramsey,419,engENG,"FW,MF",Aston Villa,23-331,2001,16.5,1,17,4,23.5,1.03,0.24,0.06,0.25,16.1,0,0,0,1.4,1.4,0.08,-0.4,-0.4,Matches
Jaden Philogene Bidace,408,engENG,"FW,MF",Aston Villa,23-075,2002,3.7,0,7,0,0.0,1.90,0.00,0.00,N/a,16.0,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches
Jadon Sancho,446,engENG,FW,Chelsea,25-030,2000,18.4,3,23,7,30.4,1.25,0.38,0.13,0.43,15.3,0,0,0,2.0,2.0,0.09,+1.0,+1.0,Matches
Jahmai Simpson-Pusey,468,engENG,DF,Manchester City,19-171,2005,1.1,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Jake Evans,169,N/a,FW,Leicester City,N/a,N/a,0.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Jake O'Brien,382,ieIRL,DF,Everton,23-344,2001,13.5,2,5,3,60.0,0.37,0.22,0.40,0.67,11.5,0,0,0,0.7,0.7,0.14,+1.3,+1.3,Matches
Jakub Kiwior,282,plPOL,DF,Arsenal,25-068,2000,8.5,1,3,1,33.3,0.35,0.12,0.33,1.00,18.5,0,0,0,0.2,0.2,0.06,+0.8,+0.8,Matches
Jakub Moder,351,plPOL,MF,Brighton,26-017,1999,0.1,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Jakub Stolarczyk,486,plPOL,GK,Leicester City,24-126,2000,6.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
James Bree,67,engENG,DF,Southampton,27-195,1997,9.9,0,4,1,25.0,0.40,0.10,0.00,0.00,22.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
James Garner,194,engENG,"MF,DF",Everton,24-042,2001,12.7,0,7,2,28.6,0.55,0.16,0.00,0.00,24.1,1,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
James Hill,235,engENG,DF,Bournemouth,23-104,2002,5.0,0,6,0,0.0,1.21,0.00,0.00,N/a,13.9,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
James Justin,267,engENG,DF,Leicester City,27-060,1998,28.2,2,24,6,25.0,0.85,0.21,0.08,0.33,16.0,2,0,0,1.5,1.5,0.06,+0.5,+0.5,Matches
James Maddison,313,engENG,MF,Tottenham,28-152,1996,19.6,9,39,17,43.6,1.99,0.87,0.23,0.53,16.7,6,0,0,5.8,5.8,0.15,+3.2,+3.2,Matches
James Mcatee,334,engENG,"MF,FW",Manchester City,22-188,2002,3.3,3,12,4,33.3,3.64,1.21,0.25,0.75,14.3,0,0,0,2.8,2.8,0.23,+0.2,+0.2,Matches
James Milner,346,engENG,MF,Brighton,39-110,1986,1.9,0,2,0,0.0,1.07,0.00,0.00,N/a,16.0,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
James Tarkowski,495,engENG,DF,Everton,32-156,1992,32.5,1,15,4,26.7,0.46,0.12,0.07,0.25,8.4,0,0,0,1.3,1.3,0.09,-0.3,-0.3,Matches
James Ward-Prowse,539,engENG,MF,West Ham,30-174,1994,8.4,0,6,2,33.3,0.71,0.24,0.00,0.00,20.3,2,0,0,0.5,0.5,0.08,-0.5,-0.5,Matches
Jamie Vardy,525,engENG,FW,Leicester City,38-103,1987,27.6,7,49,20,40.8,1.78,0.73,0.12,0.30,11.8,0,1,1,9.4,8.6,0.18,-2.4,-2.6,Matches
Jan Bednarek,49,plPOL,DF,Southampton,29-012,1996,25.1,2,5,2,40.0,0.20,0.08,0.40,1.00,16.0,0,0,0,0.7,0.7,0.13,+1.3,+1.3,Matches
Jan Paul van Hecke,229,nlNED,DF,Brighton,24-320,2000,28.9,1,16,5,31.3,0.55,0.17,0.06,0.20,14.1,0,0,0,1.3,1.3,0.08,-0.3,-0.3,Matches
Jannik Vestergaard,530,dkDEN,DF,Leicester City,32-264,1992,15.5,0,3,2,66.7,0.19,0.13,0.00,0.00,9.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Jarell Quansah,416,engENG,DF,Liverpool,22-085,2003,3.5,0,1,0,0.0,0.29,0.00,0.00,N/a,8.9,0,0,0,0.1,0.1,0.10,-0.1,-0.1,Matches
Jarrad Branthwaite,66,engENG,DF,Everton,22-301,2002,24.1,0,8,3,37.5,0.33,0.12,0.00,0.00,8.2,0,0,0,1.1,1.1,0.14,-1.1,-1.1,Matches
Jarrod Bowen,64,engENG,"FW,MF",West Ham,28-125,1996,28.2,9,73,30,41.1,2.59,1.06,0.11,0.27,17.7,1,1,1,7.4,6.6,0.09,+1.6,+1.4,Matches
Jason Steele,482,engENG,GK,Brighton,34-249,1990,2.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Jay Robinson,434,engENG,MF,Southampton,18-040,2007,0.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Jay Stansfield,481,engENG,MF,Fulham,22-151,2002,0.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Jayden Danns,120,engENG,MF,Liverpool,19-098,2006,0.1,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Jayden Meghoma,341,engENG,DF,Brentford,18-300,2006,0.1,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Jean-Clair Todibo,506,frFRA,DF,West Ham,25-115,1999,15.5,0,4,0,0.0,0.26,0.00,0.00,N/a,14.6,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
Jean-Philippe Mateta,329,frFRA,FW,Crystal Palace,27-300,1997,27.1,14,60,25,41.7,2.21,0.92,0.20,0.48,15.6,0,2,2,12.1,10.5,0.18,+1.9,+1.5,Matches
Jean-Ricner Bellegarde,51,frFRA,"MF,FW",Wolves,26-301,1998,16.4,2,20,5,25.0,1.22,0.30,0.10,0.40,21.7,2,0,0,1.3,1.3,0.07,+0.7,+0.7,Matches
Jefferson Lerma,298,coCOL,"MF,DF",Crystal Palace,30-181,1994,22.6,0,24,7,29.2,1.06,0.31,0.00,0.00,19.4,0,0,0,1.0,1.0,0.04,-1.0,-1.0,Matches
Jeffrey Schlupp,456,ghGHA,"MF,DF",Crystal Palace,32-122,1992,1.1,0,4,2,50.0,3.50,1.75,0.00,0.00,17.7,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
Jens Cajuste,81,seSWE,MF,Ipswich Town,25-257,1999,19.7,1,10,1,10.0,0.51,0.05,0.10,1.00,21.3,0,0,0,0.5,0.5,0.05,+0.5,+0.5,Matches
Jeremy Doku,141,beBEL,"FW,MF",Manchester City,22-332,2002,14.5,3,24,9,37.5,1.65,0.62,0.13,0.33,18.2,0,0,0,1.0,1.0,0.04,+2.0,+2.0,Matches
Jeremy Monga,352,N/a,FW,Leicester City,N/a,N/a,0.3,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Jeremy Sarmiento,449,ecECU,MF,Brighton,22-312,2002,0.1,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Jesper Lindstrøm,305,dkDEN,FW,Everton,25-054,2000,13.8,0,28,10,35.7,2.03,0.73,0.00,0.00,21.0,6,0,0,2.1,2.1,0.08,-2.1,-2.1,Matches
Joachim Andersen,23,dkDEN,DF,Crystal Palace,28-328,1996,1.0,0,1,1,100.0,1.00,1.00,0.00,0.00,25.2,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
Joe Aribo,32,ngNGA,"MF,DF",Southampton,28-277,1996,21.2,3,17,7,41.2,0.80,0.33,0.18,0.43,14.0,0,0,0,2.7,2.7,0.16,+0.3,+0.3,Matches
Joe Gomez,204,engENG,DF,Liverpool,27-336,1997,5.8,0,3,2,66.7,0.52,0.35,0.00,0.00,11.9,0,0,0,0.3,0.3,0.11,-0.3,-0.3,Matches
Joe Lumley,309,engENG,GK,Southampton,30-068,1995,3.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Joe Willock,551,engENG,"MF,FW",Newcastle Utd,25-247,1999,9.9,0,14,3,21.4,1.42,0.30,0.00,0.00,16.4,0,0,0,1.2,1.2,0.09,-1.2,-1.2,Matches
Joel Ward,538,engENG,DF,Crystal Palace,35-177,1989,0.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Joelinton,260,brBRA,"MF,FW",Newcastle Utd,28-253,1996,26.6,4,45,13,28.9,1.69,0.49,0.09,0.31,14.0,0,0,0,3.9,3.9,0.09,+0.1,+0.1,Matches
John McGinn,337,sctSCO,"MF,FW",Aston Villa,30-188,1994,22.1,1,26,5,19.2,1.17,0.23,0.04,0.20,16.2,1,0,0,2.9,2.6,0.10,-1.9,-1.6,Matches
John Stones,487,engENG,"DF,MF",Manchester City,30-331,1994,6.1,2,2,2,100.0,0.33,0.33,1.00,1.00,5.1,0,0,0,0.4,0.4,0.22,+1.6,+1.6,Matches
Jonny Evans,170,nirNIR,DF,Manchester Utd,37-111,1988,3.2,0,1,0,0.0,0.31,0.00,0.00,N/a,8.4,0,0,0,0.1,0.1,0.10,-0.1,-0.1,Matches
Jordan Ayew,40,ghGHA,"FW,MF",Crystal Palace,33-225,1991,0.2,0,1,0,0.0,4.29,0.00,0.00,N/a,5.5,0,0,0,0.5,0.5,0.46,-0.5,-0.5,Matches
Jordan Pickford,410,engENG,GK,Everton,31-048,1994,33.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Jorge Cuenca,114,esESP,DF,Fulham,25-158,1999,2.9,0,1,0,0.0,0.35,0.00,0.00,N/a,13.1,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Jorginho,265,itITA,MF,Arsenal,33-125,1991,7.8,0,2,0,0.0,0.26,0.00,0.00,N/a,23.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Joshua Acheampong,2,engENG,DF,Chelsea,18-354,2006,1.9,0,2,0,0.0,1.06,0.00,0.00,N/a,8.9,0,0,0,0.2,0.2,0.11,-0.2,-0.2,Matches
Joshua King,280,engENG,"MF,FW",Fulham,18-111,2007,0.9,0,1,0,0.0,1.13,0.00,0.00,N/a,5.3,0,0,0,0.2,0.2,0.20,-0.2,-0.2,Matches
Joshua Zirkzee,566,nlNED,"FW,MF",Manchester Utd,23-337,2001,15.6,3,28,11,39.3,1.80,0.71,0.11,0.27,13.1,0,0,0,4.8,4.8,0.17,-1.8,-1.8,Matches
José Sá,441,ptPOR,GK,Wolves,32-097,1993,25.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Jota Silva,466,ptPOR,"FW,MF",Nott'ham Forest,25-266,1999,9.2,3,21,7,33.3,2.28,0.76,0.14,0.43,14.9,0,0,0,1.9,1.9,0.09,+1.1,+1.1,Matches
João Félix,175,ptPOR,"FW,MF",Chelsea,25-165,1999,4.1,1,20,5,25.0,4.88,1.22,0.05,0.20,15.9,0,0,0,2.2,2.2,0.11,-1.2,-1.2,Matches
João Gomes,200,brBRA,MF,Wolves,24-071,2001,28.9,3,32,7,21.9,1.11,0.24,0.09,0.43,18.3,0,0,0,2.6,2.6,0.08,+0.4,+0.4,Matches
